Hybridization REF	TCGA-28-1747-01C-01R-0791-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.6198125
CREB3L1	-0.263833333333333
RPS11	0.5056
PNMA1	2.3416
MMP2	-0.788125
C10orf90	0.8206
ZHX3	1.224125
ERCC5	-0.0434
GPR98	0.223666666666667
RXFP3	0.602
APBB2	1.7436
PRO0478	-0.0348181818181818
KLHL13	0.8322
PRSSL1	-1.272125
PDCL3	0.222
DECR1	0.1637
SALL1	2.106875
CADM4	2.1385
RPS18	-0.183842105263158
HNRPD	-0.282733333333333
CFHR5	0.2175
SLC10A7	0.213909090909091
OR2K2	-0.0266666666666667
LMAN1	-2.85090909090909
SUHW1	-3.2404
CHD8	-0.253538461538462
SUMO1	0.199769230769231
GP1BA	0.281307692307692
DDB1	-0.38075
MYO9B	0.583428571428571
MMP7	-0.4802
CRNKL1	-0.2401
C9orf45	-0.968125
XAB2	0.4195
RTN1	2.4826
KLHL14	-1.0078
TBX10	-1.46233333333333
CENPQ	-0.1918
UTY	1.08389473684211
ZBTB12	-0.126666666666667
DTNBP1	0.1432
KBTBD8	0.748125
ZEB1	2.28
ZG16	-1.7378
MIER1	0.100538461538462
ADAM5P	-0.106666666666667
CHD9	-0.0528095238095238
STK16	-0.7224
KIAA1486	0.0956666666666667
TOB2	1.7735
BANK1	2.9046
OR2V2	0.0638
GRM2	0.084
PROSC	0.3226
SPIN2B	0.9614
PIR	-1.626
IPO9	0.61
EVC	-1.1225
CXCL13	0.7675
KIAA1199	-0.964384615384615
SORL1	3.1606
NAT10	-0.339
CHD1	-0.791
SYN3	0.4584
SLC22A2	-0.1688
SERPINF1	-0.26775
WDR34	-0.5058
OR7A17	0.3304
C9orf11	0.720333333333333
RNF216L	0.645916666666667
LHB	0.0863333333333333
STK25	0.6608
TAOK3	1.9421
LOC152573	-2.2966
C3orf39	1.8185
C14orf108	-0.144461538461539
CDC25B	-0.665714285714286
BMP3	0.342666666666667
TMEM180	0.099
MAP1LC3C	1.328
CRYGC	-0.486666666666667
POU3F1	0.682076923076923
C20orf32	-0.807333333333333
CCDC95	0.3535
HIGD1B	5.2384
USP6NL	0.3304
ABCD4	1.34325
DIMT1L	-0.0218125
TEK	0.881545454545455
SLC25A46	-0.2666
LARP7	-0.771571428571428
CD160	0.093875
MT1JP	2.77142857142857
PHF20	-0.379095238095238
CPNE4	3.0838
GTPBP1	-0.206368421052632
RAB33B	1.021875
ALDOC	2.02036363636364
ZNF212	0.297
NUDT1	-0.57175
RFPL2	0.0135
ZNF83	-0.29825
GDPD5	-1.8189
PDCD4	0.161730769230769
CEP350	-0.1676
OR10A2	0.269
CST7	-0.3016
CIAO1	-0.748
SELL	1.46472727272727
OR8J3	0.609333333333333
LTBP4	-0.151625
SIRT6	0.4056
CCL19	3.4932
PPIL1	0.359125
GBP7	1.13625
STK17A	-0.00853846153846164
ABR	2.39
OR9G1	0.3515
FOXE1	-0.7359
CNGA3	3.32933333333333
GML	0.148333333333333
CD38	0.1132
ZDHHC6	-0.242625
NEFH	-0.7586
CTDSP2	0.219125
PGBD5	0.843555555555556
CCNY	0.0967777777777778
RMND5B	0.004625
ZNF257	-2.673
FLJ22167	1.4795
EXOSC7	-1.267625
ROR2	-0.711
MAOA	0.795090909090909
TNNT3	-0.032
GYPC	-1.52833333333333
C7orf33	0.00666666666666664
PLIN	0.800375
LOC90826	0.1218
RNF4	0.00346153846153846
F8A1	-0.10875
PLEKHG4	-3.3528
GRB2	0.251481481481481
HIST1H2AD	-1.6936
DUS3L	0.005875
EIF1	-0.2515
RP5-1077B9.4	-0.270111111111111
FPGT	1.1166
GDF10	-0.0905
COQ9	-0.4182
GCC2	-0.419722222222222
RARRES3	3.41454545454545
PLXNA1	-0.279714285714286
KIAA0100	-0.161571428571429
PMF1	0.8834
FNDC1	1.2446
HS2ST1	0.897875
CRELD2	0.359
C8G	-1.69033333333333
CD82	1.037
LIM2	-1.11
UNQ6490	0.175
MMP16	0.899666666666667
DRD3	-0.0996666666666666
C5orf26	-0.3792
C11orf73	0.2996
PTP4A2	0.2584
OR4M2	0.101666666666667
HPCA	-0.912625
SEC14L1	-0.245125
CHFR	0.481545454545454
EMILIN1	0.5593
NDUFS4	0.2568
COL18A1	-1.5749
PDZD3	-0.171153846153846
C9orf16	0.780375
ERBB2IP	2.23614285714286
EMX2	6.4834
FUS	-2.1946
TF	-0.581153846153846
CLCN4	1.74425
CXorf56	-0.437
C11orf72	0.280666666666667
ELAC2	-0.532533333333333
NPR1	-2.1356
ASS1	-3.48777777777778
USP42	0.195
POLR2J	0.782333333333333
SEC23IP	-0.4565
UQCRC1	0.5712
LOC729603	-0.8252
C1orf71	-1.0537
POLG	-1.821
ADAM23	-1.1065
TFR2	-1.2182
RICTOR	-0.428769230769231
MGC39606	1.545
C19orf55	-0.289545454545455
SNAPC1	-1.164625
GNA11	0.866909090909091
CCDC52	-0.563125
FSIP1	1.20566666666667
UPF3A	0.5722
IGSF11	2.2895
LAGE3	0.029
CHST6	3.04833333333333
UNC13B	-0.0752727272727273
TTLL4	-0.717363636363636
ZNF687	-0.0811
SDC2	-0.593428571428571
COX7A2	0.5786
LAMB4	1.473
FAM24A	0.0893333333333333
LRRTM3	2.204875
GPHB5	-0.051
OR4C13	0.339
EIF3EIP	-0.391666666666667
HABP4	1.75933333333333
TMEM125	2.1194
CNTN2	3.65290909090909
ASNSD1	0.1428
FUT4	0.0313
ACF	-3.8654
LOC158381	0.114
CDH8	1.3034
AGPS	-1.061
C4orf18	2.26427272727273
PECI	0.504642857142857
UNG	-0.274909090909091
GSTP1	-0.511909090909091
DCUN1D5	-1.330375
DKFZP564J0863	-1.7094
SLC9A3R1	-0.358454545454545
BCDO2	0.0484545454545454
CHMP7	-0.2224
REM2	0.437
DNHD1	0.3115
FKBP4	-1.85181818181818
ZNF350	1.2426
MGC11102	0.00763636363636364
BST1	0.2856
KISS1R	1.02433333333333
NCR2	0.340333333333333
DEFB125	-0.348
UBE2W	0.168
KRT15	-3.97790909090909
C10orf99	0.206666666666667
SCN11A	0.019
GFI1	-2.6946
RDHE2	-0.295875
FHL1	2.586875
OSGEP	0.8655
GATA1	-3.735125
SMC6	-1.1066
TTTY14	1.75833333333333
LPIN3	-0.0404
RPL4	-1.47307142857143
RBPMS	-2.65628571428571
PRPF3	0.02075
EMR1	-2.1945
SPATA19	0.1282
