Hybridization REF	TCGA-28-5211-01C-11R-1847-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.1590625
CREB3L1	-1.07716666666667
RPS11	-0.8459
PNMA1	1.3784
MMP2	-1.878625
C10orf90	-1.0856
ZHX3	1.045
ERCC5	-0.009
GPR98	-0.200583333333333
RXFP3	-0.234
APBB2	0.4296
PRO0478	0.167272727272727
KLHL13	-0.385
PRSSL1	-1.552125
PDCL3	-0.200125
DECR1	-0.0465
SALL1	1.701
CADM4	1.785
RPS18	-0.401894736842105
HNRPD	-1.31166666666667
CFHR5	-0.258857142857143
SLC10A7	0.0535
OR2K2	0.0583333333333333
LMAN1	-1.75645454545455
SUHW1	-3.0448
CHD8	0.484384615384615
SUMO1	-0.0668461538461539
GP1BA	1.96069230769231
DDB1	0.29775
MYO9B	0.363
MMP7	7.2658
CRNKL1	0.1804
C9orf45	-1.000625
XAB2	-0.4651
RTN1	2.4796
KLHL14	-0.664
TBX10	-2.25266666666667
CENPQ	-0.9834
UTY	1.57621052631579
ZBTB12	-0.473666666666667
DTNBP1	0.1658
KBTBD8	0.31375
ZEB1	2.714875
ZG16	-1.50375
MIER1	0.447615384615385
ADAM5P	0.263
CHD9	0.581190476190476
STK16	0.3282
KIAA1486	-0.666333333333333
TOB2	1.1750625
BANK1	4.3492
OR2V2	-0.2156
GRM2	-0.3375
PROSC	0.3317
SPIN2B	-0.089
PIR	-1.97318181818182
IPO9	0.531071428571429
EVC	-0.293714285714286
CXCL13	2.16225
KIAA1199	1.36283333333333
SORL1	2.5188
NAT10	-1.0208
CHD1	-0.3438
SYN3	0.9432
SLC22A2	-0.4985
SERPINF1	-0.830125
WDR34	-1.216
OR7A17	0.3912
C9orf11	0.8415
RNF216L	1.01458333333333
LHB	0.0596666666666667
STK25	-0.5978
TAOK3	1.1596
LOC152573	-0.238
C3orf39	0.3309
C14orf108	-0.184230769230769
CDC25B	-0.213
BMP3	-0.624
TMEM180	-0.106
MAP1LC3C	1.0894
CRYGC	-0.948
POU3F1	-0.0633076923076923
C20orf32	-0.861
CCDC95	-0.721
HIGD1B	5.7738
USP6NL	-0.8129
ABCD4	1.460125
DIMT1L	-0.483
TEK	1.40090909090909
SLC25A46	-0.2446
LARP7	-0.781785714285714
CD160	0.237375
MT1JP	3.97957142857143
PHF20	-0.452714285714286
CPNE4	0.3572
GTPBP1	-0.615789473684211
RAB33B	1.095125
ALDOC	0.571818181818182
ZNF212	0.7534
NUDT1	-0.550125
RFPL2	0.860833333333333
ZNF83	-0.175
GDPD5	-1.9761
PDCD4	-0.663961538461538
CEP350	0.6444
OR10A2	-0.0984
CST7	0.3504
CIAO1	-1.217
SELL	1.46609090909091
OR8J3	0.013
LTBP4	-0.84775
SIRT6	-0.1072
CCL19	4.6616
PPIL1	-0.44125
GBP7	1.31525
STK17A	0.229692307692308
ABR	1.5346
OR9G1	0.1885
FOXE1	-1.3512
CNGA3	3.511
GML	0.00600000000000001
CD38	-1.33
ZDHHC6	-0.004875
NEFH	-2.9848
CTDSP2	0.7829375
PGBD5	-0.687444444444445
CCNY	0.00188888888888888
RMND5B	-0.4175625
ZNF257	-3.0076
FLJ22167	1.1999
EXOSC7	-0.870375
ROR2	-1.1799
MAOA	1.08354545454545
TNNT3	0.895
GYPC	-0.955166666666667
C7orf33	0.216333333333333
PLIN	0.0255
LOC90826	0.2586
RNF4	-0.482692307692308
F8A1	-0.199625
PLEKHG4	-3.0562
GRB2	-0.269074074074074
HIST1H2AD	-0.0762
DUS3L	-1.346625
EIF1	-0.533625
RP5-1077B9.4	-1.43422222222222
FPGT	0.933
GDF10	-3.182625
COQ9	-0.1582
GCC2	0.451944444444444
RARRES3	3.601
PLXNA1	0.0333571428571429
KIAA0100	-0.0290714285714286
PMF1	-0.1762
FNDC1	5.4526
HS2ST1	0.68775
CRELD2	0.53
C8G	-1.71766666666667
CD82	1.092
LIM2	-0.939
UNQ6490	0.497
MMP16	0.0863333333333333
DRD3	0.108166666666667
C5orf26	-0.2282
C11orf73	0.0528
PTP4A2	0.7473
