Hybridization REF	TCGA-06-0680-11A-01R-0344-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.40575
CREB3L1	0.133
RPS11	-0.0602
PNMA1	2.8454
MMP2	-1.883375
C10orf90	1.0374
ZHX3	0.852625
ERCC5	0.039
GPR98	0.624727272727273
RXFP3	0.344333333333333
APBB2	0.3364
PRO0478	-0.369909090909091
KLHL13	-0.351
PRSSL1	-0.55725
PDCL3	-0.224125
DECR1	-0.7046
SALL1	0.734375
CADM4	0.978125
RPS18	-0.272894736842105
HNRPD	-0.7786
CFHR5	0.535166666666667
SLC10A7	-0.540636363636364
OR2K2	1.10333333333333
LMAN1	-2.51590909090909
SUHW1	-1.5788
CHD8	-0.900615384615384
SUMO1	0.915307692307692
GP1BA	0.376769230769231
DDB1	-0.585
MYO9B	-0.775714285714286
MMP7	-0.724
CRNKL1	-0.7332
C9orf45	0.293375
XAB2	-0.6857
RTN1	4.7511
KLHL14	0.2831
TBX10	0.028
CENPQ	-0.9706
UTY	0.970684210526316
ZBTB12	-0.364
DTNBP1	0.8676
KBTBD8	0.39075
ZEB1	1.204125
ZG16	-0.6414
MIER1	-0.133538461538462
ADAM5P	-1.334
CHD9	-0.266619047619048
STK16	0.8322
KIAA1486	0.643
TOB2	-0.052125
BANK1	2.377
OR2V2	0.1948
GRM2	0.6135
PROSC	0.2712
SPIN2B	1.8054
PIR	-0.861818181818182
IPO9	-0.446071428571429
EVC	-1.136875
CXCL13	0.447625
KIAA1199	0.744923076923077
SORL1	2.493
NAT10	-0.7226
CHD1	-2.0918
SYN3	1.5032
SLC22A2	1.2834
SERPINF1	0.2035
WDR34	-1.8868
OR7A17	0.317
C9orf11	0.399
RNF216L	-0.2675
LHB	0.887666666666667
STK25	0.2878
TAOK3	1.449
LOC152573	-1.3164
C3orf39	1.5402
C14orf108	-0.206538461538462
CDC25B	-1.47678571428571
BMP3	0.239
TMEM180	0.955
MAP1LC3C	0.1602
CRYGC	0.17
POU3F1	-0.267846153846154
C20orf32	0.127
CCDC95	-0.32
HIGD1B	4.8704
USP6NL	-0.9785
ABCD4	0.14225
DIMT1L	-0.1224375
TEK	2.02863636363636
SLC25A46	-0.0458
LARP7	-1.12057142857143
CD160	0.419
MT1JP	2.05728571428571
PHF20	-0.520238095238095
CPNE4	4.6348
GTPBP1	-0.570631578947368
RAB33B	1.52325
ALDOC	2.71454545454545
ZNF212	-0.323
NUDT1	-1.379625
RFPL2	5.03933333333333
ZNF83	-0.744125
GDPD5	-0.2398
PDCD4	0.403269230769231
CEP350	-0.6814
OR10A2	0.5628
CST7	-1.7806
CIAO1	-1.151
SELL	-0.0748181818181819
OR8J3	0.150333333333333
LTBP4	-0.2295
SIRT6	-0.0658
CCL19	4.1814
PPIL1	0.15175
GBP7	-0.923
STK17A	-0.748846153846154
ABR	3.2694
OR9G1	0.297
FOXE1	-0.0363
CNGA3	2.31266666666667
GML	0.375666666666667
CD38	-2.2472
ZDHHC6	-0.207125
NEFH	2.6224
CTDSP2	-0.615625
PGBD5	2.40566666666667
CCNY	1.00372222222222
RMND5B	-0.0405625
ZNF257	-2.1326
FLJ22167	0.6931
EXOSC7	-0.697875
ROR2	-0.4781
MAOA	1.63109090909091
TNNT3	0.49
GYPC	-1.39916666666667
C7orf33	-1.2915
PLIN	1.247125
LOC90826	-0.0562
RNF4	0.0184615384615385
F8A1	0.44175
PLEKHG4	-2.9956
GRB2	0.132259259259259
HIST1H2AD	-1.8482
DUS3L	-1.143
EIF1	-0.204625
RP5-1077B9.4	-0.762555555555556
FPGT	-0.1832
GDF10	3.528375
COQ9	0.1886
GCC2	0.6095
RARRES3	1.73536363636364
PLXNA1	0.345214285714286
KIAA0100	-0.716642857142857
PMF1	-0.3532
FNDC1	1.3008
HS2ST1	0.384625
CRELD2	-0.1226
C8G	-0.995
CD82	-0.2416
LIM2	-0.08
UNQ6490	-1.54633333333333
MMP16	0.192666666666667
DRD3	-0.207166666666667
C5orf26	0.871
C11orf73	0.5508
PTP4A2	0.3154
OR4M2	0.0233333333333333
HPCA	0.17125
SEC14L1	-0.558125
CHFR	-0.695181818181818
EMILIN1	-0.1421
NDUFS4	1.081
COL18A1	-1.4434
PDZD3	-0.0744615384615384
C9orf16	1.1365
ERBB2IP	0.0304285714285714
EMX2	6.2112
FUS	-2.7978
TF	0.0296153846153846
CLCN4	2.683125
CXorf56	-0.2246
C11orf72	0.246666666666667
ELAC2	-1.05653333333333
NPR1	-0.9062
ASS1	-1.58711111111111
USP42	-0.5774
POLR2J	-0.609333333333333
SEC23IP	0.045875
UQCRC1	0.3316
LOC729603	0.043
C1orf71	-0.00359999999999998
POLG	-2.628
ADAM23	0.155
TFR2	-0.3984
RICTOR	-0.429583333333333
MGC39606	3.8528
C19orf55	-0.233818181818182
SNAPC1	-2.039875
GNA11	0.335454545454545
CCDC52	-1.29525
FSIP1	1.22366666666667
UPF3A	-0.5972
IGSF11	1.444875
LAGE3	1.0198
CHST6	2.41
UNC13B	0.434636363636364
TTLL4	-1.69590909090909
ZNF687	-0.4978
SDC2	-0.423714285714286
COX7A2	1.5468
LAMB4	0.41675
FAM24A	0.737333333333333
LRRTM3	2.519875
GPHB5	0.247
OR4C13	-0.244666666666667
EIF3EIP	0.0586111111111111
HABP4	2.19066666666667
TMEM125	3.7786
CNTN2	3.05527272727273
ASNSD1	0.6238
FUT4	-0.8089
ACF	-2.1372
LOC158381	-0.5815
CDH8	4.3992
AGPS	-1.820375
C4orf18	1.79209090909091
PECI	-0.220785714285714
UNG	-1.05881818181818
GSTP1	-0.950272727272727
DCUN1D5	-1.253875
DKFZP564J0863	-2.6974
SLC9A3R1	-0.673909090909091
BCDO2	1.367
CHMP7	-0.5968
REM2	-0.251333333333333
DNHD1	-0.1697
FKBP4	-1.57272727272727
ZNF350	0.9726
MGC11102	0.195818181818182
BST1	-0.6106
KISS1R	0.892333333333333
NCR2	0.438333333333333
DEFB125	0.328333333333333
UBE2W	1.21972727272727
KRT15	-3.13627272727273
C10orf99	0.0153333333333333
SCN11A	0.501909090909091
GFI1	-2.5008
RDHE2	2.415375
FHL1	1.60525
OSGEP	0.613375
GATA1	-2.807
SMC6	-1.7536
TTTY14	1.657
LPIN3	0.189
RPL4	-1.57707142857143
RBPMS	-2.31385714285714
PRPF3	-1.137125
EMR1	-0.806
SPATA19	0.7396
XCR1	0.694666666666667
IRX3	-1.84538461538462
RBM6	-0.4584
KLF4	-0.880923076923077
UNC5CL	-1.7098
SEBOX	-0.0846666666666667
BTK	-0.7118
KRCC1	0.5434
C6orf27	1.00233333333333
SYTL5	0.152333333333333
PRND	0.8
LOC653319	0.649333333333333
PIGL	-1.07936363636364
HUS1	-0.326
SFRS6	-1.153375
C17orf77	0.615666666666667
UIMC1	-0.445375
FXYD2	-1.27646153846154
LOC283152	-0.0444
ZNF667	1.7602
ZCCHC12	4.391
TFEC	1.374
ATP7B	0.11625
POLD2	-1.755
RG9MTD1	0.2888
ACOT2	0.412875
HIST1H4I	-0.833090909090909
PPARGC1A	1.64161538461538
ETFA	-1.12971428571429
POLRMT	-0.2848
ZNF146	-1.53927272727273
MIA2	-1.123
KLHL6	-1.722
HOXB5	-0.682636363636364
NENF	1.19175
CUGBP1	-0.7236
PRSS22	-0.56275
CASC4	1.20030769230769
CUL4B	-0.275923076923077
CENPJ	-1.4455
PITX1	-1.343375
FLJ31033	-0.735857142857143
CELSR3	0.746625
ZNF568	1.0156
ITSN1	-0.182533333333333
EHBP1L1	-0.736125
C19orf2	-0.9044
DCTN1	0.0492
LIN28B	-2.48933333333333
TNKS2	0.0226
C1QBP	-0.0685
CADPS2	1.6838
SRMS	0.2006
GJA9	0.350625
MGC24975	-0.568625
TRIM45	-1.2625
TSP50	0.0884
TCP1	-0.9436
TMED7	-0.441583333333333
CMA1	0.586666666666667
CENPL	-1.701625
PTCRA	0.0216666666666667
FST	-4.2174
VWCE	-0.6518
PAWR	-2.6062
ABCC12	3.23975
LDLR	-2.19246153846154
ASTN2	2.05428571428571
LOC441212	0.141363636363636
GPATCH8	0.0316666666666666
TANC2	-0.2018125
KIF4A	-3.0814
C18orf18	0.4842
PGM1	-0.489
KIAA0258	0.08
CPD	-0.5806
SNCAIP	0.6962
DCT	-3.13466666666667
HLA-DOA	1.21277419354839
OR11L1	0.855666666666667
UPK1B	1.568875
DNAJB4	0.6091
UGT1A8	-0.16
HIST1H4L	0.410666666666667
PECR	-1.435
HSPA2	3.661
WFIKKN1	0.875666666666667
SERP1	-0.5615
SYDE2	-0.771166666666667
TACR2	0.271666666666667
NUP85	-1.045
CD177	0.490444444444444
LGR5	-0.96925
PIGG	-0.404
PTHR1	0.78775
RAB5A	0.410692307692308
FLJ13224	0.0133333333333333
USP9Y	1.460875
C7orf53	-0.795666666666667
LRP1B	4.883
XAF1	0.884866666666667
ABCG8	-1.096
ANKDD1A	0.086125
DAND5	-1.17833333333333
SPAG6	0.8355
LINCR	0.4204
ZDHHC22	2.7059
CCDC60	-0.434
THOC7	-0.604125
TCTA	0.680230769230769
OR8K3	-0.1592
NY-REN-7	2.7026
B2M	0.28525
C6orf141	-1.8385
LPPR4	7.32166666666667
SQLE	-1.27618181818182
SEPHS1	-0.9202
BTBD14B	0.484055555555556
PLRG1	-0.538
SPG7	-0.207857142857143
ZNF614	-0.182111111111111
PARD6G	0.3355
INPP5B	-1.33630769230769
GRPEL2	-0.291
PPID	-0.454
TRIM56	-2.1282
UBE2J1	-1.63890909090909
IL20RA	3.1414
LOC387856	1.9778
C1orf107	0.115875
UTS2R	0.6934
C19orf22	-0.2138
SAFB2	-0.1909
KIAA0652	-0.0545
KLRG1	0.34675
MS4A8B	1.5235
FRAG1	-0.4102
KIAA1546	-0.433
E2F4	-1.22861538461538
CLEC4M	0.148222222222222
BTBD14A	-0.3694
KIAA0999	1.20669230769231
GYPA	-2.999625
TAC1	6.47157142857143
TRAIP	-1.715375
KIAA0232	1.51915384615385
ERCC8	-0.7509
GPX4	1.336
KIAA0368	1.4418
GPR157	-0.80375
CTAGE4	-1.3115
C9orf30	-0.2915
OR52A1	0.679
HSP90B3P	-1.3105
ALG9	-0.553538461538462
BTBD10	1.9948
SDK2	0.3025
BAIAP3	1.6026
RABGGTB	-0.2561
ANKRD40	-0.13975
KRT74	0.891666666666667
CALCOCO2	-0.360555555555556
SNCA	2.9956
TMSL8	-3.00390909090909
C2orf53	0.684
ESRRB	0.206
ARHGAP26	0.3945
TDRD9	2.572
HRAS	-0.2025
KLRC4	-0.6935
