Hybridization REF	TCGA-06-6391-01A-13R-1700-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.556
CREB3L1	0.0865
RPS11	-0.1885
PNMA1	2.4164
MMP2	-1.987875
C10orf90	0.0238
ZHX3	1.625625
ERCC5	0.4176
GPR98	-0.510909090909091
RXFP3	0.512666666666667
APBB2	1.6054
PRO0478	-0.162909090909091
KLHL13	0.522
PRSSL1	-1.61425
PDCL3	-0.166625
DECR1	-0.2366
SALL1	1.71275
CADM4	3.305
RPS18	-0.92178947368421
HNRPD	0.0606
CFHR5	-0.0365000000000001
SLC10A7	0.190909090909091
OR2K2	-0.0193333333333333
LMAN1	-2.31163636363636
SUHW1	-3.6252
CHD8	0.0221538461538462
SUMO1	0.388769230769231
GP1BA	0.323
DDB1	-0.2965
MYO9B	0.242285714285714
MMP7	4.5404
CRNKL1	-0.00120000000000003
C9orf45	0.161125
XAB2	-0.7535
RTN1	4.58522222222222
KLHL14	0.517
TBX10	-1.92366666666667
CENPQ	-0.3068
UTY	-2.23876470588235
ZBTB12	0.128666666666667
DTNBP1	0.3077
KBTBD8	0.235125
ZEB1	4.267125
ZG16	-1.668
MIER1	-0.0103076923076923
ADAM5P	0.142
CHD9	0.553857142857143
STK16	-0.186
KIAA1486	1.12733333333333
TOB2	0.5839375
BANK1	3.961
OR2V2	0.4052
GRM2	0.093875
PROSC	0.2461
SPIN2B	0.2464
PIR	-1.64972727272727
IPO9	0.213071428571429
EVC	-1.579375
CXCL13	0.614875
KIAA1199	-2.12538461538462
SORL1	2.526
NAT10	-1.373
CHD1	-0.4964
SYN3	1.3716
SLC22A2	-0.9242
SERPINF1	-2.7045
WDR34	-1.8174
OR7A17	-0.4884
C9orf11	0.270666666666667
RNF216L	0.396166666666667
LHB	0.114666666666667
STK25	-0.7725
TAOK3	2.6389
LOC152573	-0.0864
C3orf39	1.8137
C14orf108	0.572923076923077
CDC25B	-0.7445
BMP3	1.92133333333333
TMEM180	-0.047
MAP1LC3C	0.4684
CRYGC	-0.460666666666667
POU3F1	0.602
C20orf32	-1.59066666666667
CCDC95	-0.611
HIGD1B	5.1224
USP6NL	0.874
ABCD4	0.613875
DIMT1L	-0.2773125
TEK	1.325
SLC25A46	-0.4138
LARP7	-1.31642857142857
CD160	0.544625
MT1JP	1.87285714285714
PHF20	-0.236761904761905
CPNE4	-0.4104
GTPBP1	-0.493157894736842
RAB33B	2.081375
ALDOC	1.08954545454545
ZNF212	0.771
NUDT1	1.026125
RFPL2	3.18266666666667
ZNF83	-0.019
GDPD5	-0.8781
PDCD4	0.748307692307692
CEP350	0.7102
OR10A2	-0.0606
CST7	-2.3734
CIAO1	-1.2512
SELL	1.24063636363636
OR8J3	0.307333333333333
LTBP4	-0.61625
SIRT6	-0.5964
CCL19	0.6594
PPIL1	-0.274875
GBP7	1.042625
STK17A	1.523
ABR	2.2704
OR9G1	-2.6835
FOXE1	-1.0487
CNGA3	3.953
GML	0.0616666666666667
CD38	-1.6754
ZDHHC6	-0.086125
NEFH	0.778
CTDSP2	1.636625
PGBD5	1.60422222222222
CCNY	0.400944444444444
RMND5B	-0.5443125
ZNF257	-4.0924
FLJ22167	-0.2362
EXOSC7	-1.209625
ROR2	-0.9939
MAOA	1.98290909090909
TNNT3	-0.151571428571429
GYPC	-1.78783333333333
C7orf33	0.209
PLIN	0.03725
LOC90826	-0.0718
RNF4	0.438769230769231
F8A1	0.317875
PLEKHG4	-3.3912
GRB2	-0.252037037037037
HIST1H2AD	-1.7884
DUS3L	-1.285
EIF1	-0.001625
RP5-1077B9.4	-1.22044444444444
FPGT	0.7846
GDF10	3.8885
COQ9	-0.5004
GCC2	0.256277777777778
RARRES3	1.01409090909091
PLXNA1	-0.0792857142857143
KIAA0100	-0.479142857142857
PMF1	-1.0154
FNDC1	0.458
HS2ST1	-0.029875
CRELD2	0.4038
C8G	-2.32533333333333
CD82	0.4676
LIM2	-1.565
UNQ6490	0.790333333333333
MMP16	3.29083333333333
DRD3	-0.558166666666667
C5orf26	0.3516
C11orf73	0.2852
PTP4A2	0.3325
OR4M2	0.527
HPCA	0.09725
SEC14L1	0.334625
CHFR	-0.278
EMILIN1	0.953
NDUFS4	-0.0614
COL18A1	-1.2851
PDZD3	-0.264384615384615
C9orf16	-0.320625
ERBB2IP	0.415428571428571
EMX2	3.937
FUS	-0.9908
TF	-0.950461538461538
CLCN4	3.01325
CXorf56	0.2134
C11orf72	-0.04
ELAC2	-1.2372
NPR1	-1.0824
ASS1	-2.67788888888889
USP42	0.3773
POLR2J	-0.767
SEC23IP	-0.2475
UQCRC1	-0.422
LOC729603	-1.4722
C1orf71	-0.685
POLG	-1.1975
ADAM23	-0.629
TFR2	-1.36
RICTOR	0.081923076923077
MGC39606	2.4238
C19orf55	-0.569181818181818
SNAPC1	-1.345625
GNA11	0.999363636363636
CCDC52	-1.642875
FSIP1	0.486333333333333
UPF3A	0.5307
IGSF11	1.862625
LAGE3	-0.3314
CHST6	2.652
UNC13B	-0.000272727272727273
TTLL4	-1.25654545454545
ZNF687	0.3341
SDC2	-1.15971428571429
COX7A2	0.365
LAMB4	-0.062
FAM24A	0.674666666666667
LRRTM3	3.670125
