Hybridization REF	TCGA-19-0957-01C-01R-0598-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.6655
CREB3L1	-0.9705
RPS11	-0.2066
PNMA1	1.6268
MMP2	-1.587875
C10orf90	1.5356
ZHX3	1.1785
ERCC5	0.5948
GPR98	1.44991666666667
RXFP3	-0.154
APBB2	1.0998
PRO0478	0.387181818181818
KLHL13	0.3778
PRSSL1	-1.616125
PDCL3	0.497625
DECR1	-0.421
SALL1	1.4375
CADM4	2.856375
RPS18	-0.974684210526316
HNRPD	-0.0629333333333333
CFHR5	-0.1885
SLC10A7	0.115454545454545
OR2K2	1.10033333333333
LMAN1	-2.01145454545455
SUHW1	-3.6222
CHD8	-0.313538461538461
SUMO1	-0.0685384615384615
GP1BA	0.171769230769231
DDB1	-0.155
MYO9B	1.467
MMP7	3.1732
CRNKL1	-0.3423
C9orf45	-0.10975
XAB2	-0.8929
RTN1	4.6703
KLHL14	-1.58422222222222
TBX10	-1.69466666666667
CENPQ	-1.1256
UTY	-1.81347058823529
ZBTB12	-0.107333333333333
DTNBP1	0.2392
KBTBD8	0.4635
ZEB1	2.483625
ZG16	-2.9372
MIER1	-0.51
ADAM5P	2.3945
CHD9	0.634666666666667
STK16	0.1722
KIAA1486	2.52
TOB2	0.6211875
BANK1	1.2454
OR2V2	-0.0982
GRM2	0.032125
PROSC	0.433
SPIN2B	0.2372
PIR	-2.58563636363636
IPO9	0.4305
EVC	-0.862
CXCL13	0.3575
KIAA1199	-1.39707692307692
SORL1	2.5076
NAT10	-0.2888
CHD1	-0.5496
SYN3	1.3332
SLC22A2	-0.6096
SERPINF1	-0.0445
WDR34	-1.4338
OR7A17	-0.643
C9orf11	0.707333333333333
RNF216L	0.597
LHB	0.00266666666666667
STK25	0.5343
TAOK3	2.2324
LOC152573	-0.492
C3orf39	1.5384
C14orf108	0.197692307692308
CDC25B	-0.773214285714286
BMP3	0.446666666666667
TMEM180	0.215333333333333
MAP1LC3C	0.2254
CRYGC	-1.58433333333333
POU3F1	0.266153846153846
C20orf32	-0.892333333333333
CCDC95	-0.1415
HIGD1B	6.3106
USP6NL	-0.9323
ABCD4	1.24875
DIMT1L	-0.562625
TEK	-0.255818181818182
SLC25A46	-0.587
LARP7	-1.50164285714286
CD160	0.183428571428571
MT1JP	1.45842857142857
PHF20	-0.0819047619047619
CPNE4	2.1122
GTPBP1	-0.516210526315789
RAB33B	0.6585
ALDOC	0.148818181818182
ZNF212	0.6764
NUDT1	0.30425
RFPL2	-1.27683333333333
ZNF83	0.674625
GDPD5	-1.1712
PDCD4	-0.1585
CEP350	0.003
OR10A2	0.1068
CST7	-0.5356
CIAO1	-0.6532
SELL	1.02863636363636
OR8J3	-0.110333333333333
LTBP4	0.3005
SIRT6	-0.3466
CCL19	0.8388
PPIL1	-0.249625
GBP7	-0.29225
STK17A	-0.278615384615385
ABR	1.8732
OR9G1	-1.357
FOXE1	-1.246
CNGA3	5.15566666666667
GML	-0.187333333333333
CD38	-0.4326
ZDHHC6	-0.33425
NEFH	0.414
CTDSP2	4.31675
PGBD5	0.802666666666667
CCNY	0.309888888888889
RMND5B	-0.48925
ZNF257	-3.5686
FLJ22167	-0.1482
EXOSC7	-1.238375
ROR2	-1.0455
MAOA	0.861454545454545
TNNT3	1.19175
GYPC	-2.14783333333333
C7orf33	0.4625
PLIN	0.226
LOC90826	0.335
RNF4	0.312692307692308
F8A1	0.090625
PLEKHG4	-3.7992
GRB2	0.907925925925926
HIST1H2AD	-1.3354
DUS3L	0.307125
EIF1	0.012125
RP5-1077B9.4	-0.439666666666667
FPGT	-0.1214
GDF10	1.078375
COQ9	-0.19
GCC2	0.0481111111111111
RARRES3	1.849
PLXNA1	0.432428571428571
KIAA0100	0.294642857142857
PMF1	0.0476
FNDC1	1.0772
HS2ST1	-0.343375
CRELD2	0.3746
C8G	-2.26266666666667
CD82	-0.2756
LIM2	-2.49433333333333
UNQ6490	0.169333333333333
MMP16	2.3745
DRD3	-0.157
C5orf26	-0.9228
C11orf73	-0.2676
PTP4A2	0.6845
OR4M2	-0.339333333333333
HPCA	-1.227
SEC14L1	0.424875
CHFR	0.963272727272727
EMILIN1	0.7531
NDUFS4	-0.2346
COL18A1	-0.8326
PDZD3	-0.18675
C9orf16	-0.240125
ERBB2IP	0.598714285714286
EMX2	5.7224
FUS	-0.9512
TF	0.0801538461538461
CLCN4	3.122875
CXorf56	-0.6716
C11orf72	-0.133833333333333
ELAC2	-1.01006666666667
NPR1	-1.344
ASS1	-3.28433333333333
USP42	0.7296
POLR2J	-0.0983333333333333
SEC23IP	-0.4535
UQCRC1	0.4576
LOC729603	-0.8676
C1orf71	-0.8152
POLG	-1.115
ADAM23	0.0561666666666667
TFR2	-0.4748
RICTOR	-0.0246153846153846
MGC39606	2.117
C19orf55	-0.478
SNAPC1	-1.325625
GNA11	0.919909090909091
CCDC52	-1.128625
FSIP1	-0.335333333333333
UPF3A	1.151
IGSF11	2.355
LAGE3	-0.3018
CHST6	2.25566666666667
UNC13B	1.05154545454545
TTLL4	-0.602636363636364
ZNF687	0.1747
SDC2	-0.637214285714286
COX7A2	-0.4112
LAMB4	2.3866
FAM24A	0.373
LRRTM3	2.603
GPHB5	-0.823
OR4C13	-0.312
EIF3EIP	-0.367888888888889
HABP4	1.25133333333333
TMEM125	3.4154
CNTN2	4.92872727272727
ASNSD1	0.489
FUT4	-0.1718
ACF	-4.38
LOC158381	-0.786
CDH8	1.1734
AGPS	-0.513375
C4orf18	1.13409090909091
PECI	-0.324928571428571
UNG	-0.838090909090909
GSTP1	-0.206090909090909
DCUN1D5	-1.38025
DKFZP564J0863	-1.4684
SLC9A3R1	-0.996181818181818
BCDO2	1.00872727272727
CHMP7	0.4599
REM2	0.492
DNHD1	-0.0804
FKBP4	-1.46963636363636
ZNF350	0.7618
MGC11102	-0.0994545454545454
BST1	0.1664
KISS1R	-0.856333333333333
NCR2	0.379666666666667
DEFB125	0.016
UBE2W	0.205636363636364
KRT15	-4.88890909090909
C10orf99	-0.165
SCN11A	0.665454545454546
GFI1	-3.1738
RDHE2	-1.44671428571429
FHL1	2.569625
OSGEP	0.774125
GATA1	-4.65775
SMC6	-0.0202
TTTY14	-1.12416666666667
LPIN3	-0.6186
RPL4	-1.46364285714286
RBPMS	-1.22435714285714
PRPF3	0.020625
EMR1	0.06
SPATA19	0.8034
XCR1	-0.177666666666667
IRX3	-2.01623076923077
RBM6	1.5902
KLF4	-1.60892307692308
UNC5CL	0.0698
SEBOX	-0.518
BTK	1.268
KRCC1	0.9296
C6orf27	0.559666666666667
SYTL5	-1.28666666666667
PRND	-0.351555555555556
LOC653319	1.31466666666667
