Hybridization REF	TCGA-CS-5396-01A-02R-1470-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.7193125
CREB3L1	1.53966666666667
RPS11	-1.0255
PNMA1	3.2978
MMP2	-0.638375
C10orf90	2.6432
ZHX3	1.441625
ERCC5	0.5336
GPR98	1.4736
RXFP3	1.039
APBB2	1.9696
PRO0478	-0.736454545454545
KLHL13	1.1842
PRSSL1	-1.06925
PDCL3	-0.182
DECR1	1.2073
SALL1	0.776625
CADM4	2.22325
RPS18	-1.087
HNRPD	0.411066666666667
CFHR5	-0.1086
SLC10A7	0.947090909090909
OR2K2	-0.345666666666667
LMAN1	-2.18554545454545
SUHW1	-2.9864
CHD8	0.0738461538461539
SUMO1	-0.284846153846154
GP1BA	0.331153846153846
DDB1	1.18575
MYO9B	0.578642857142857
MMP7	2.1044
CRNKL1	0.1573
C9orf45	-1.220125
XAB2	0.4955
RTN1	4.549
KLHL14	-1.1442
TBX10	-1.35166666666667
CENPQ	-0.0976
UTY	-1.52105555555556
ZBTB12	-0.0676666666666667
DTNBP1	-0.6996
KBTBD8	0.780375
ZEB1	2.92075
ZG16	-2.5538
MIER1	-0.941769230769231
ADAM5P	-0.336
CHD9	0.163333333333333
STK16	0.244
KIAA1486	-0.114666666666667
TOB2	0.702375
BANK1	0.3532
OR2V2	0.395
GRM2	0.12025
PROSC	1.3401
SPIN2B	1.2472
PIR	-0.777727272727273
IPO9	0.0361428571428571
EVC	-0.185
CXCL13	1.00275
KIAA1199	1.52038461538462
SORL1	3.2888
NAT10	-0.2062
CHD1	-1.2138
SYN3	2.7966
SLC22A2	0.0414
SERPINF1	-1.83325
WDR34	-1.8324
OR7A17	0.3614
C9orf11	0.727666666666667
RNF216L	-0.501
LHB	0.049
STK25	0.2973
TAOK3	2.2048
LOC152573	-0.7548
C3orf39	2.4622
C14orf108	1.51138461538462
CDC25B	-1.05121428571429
BMP3	0.738
TMEM180	0.527333333333333
MAP1LC3C	0.6008
CRYGC	-0.874
POU3F1	0.324153846153846
C20orf32	-1.307
CCDC95	-0.2035
HIGD1B	5.0306
USP6NL	0.4417
ABCD4	0.322625
DIMT1L	0.2826875
TEK	2.78218181818182
SLC25A46	0.6074
LARP7	-2.0285
CD160	0.125625
MT1JP	-0.364142857142857
PHF20	-0.12852380952381
CPNE4	0.1036
GTPBP1	-0.0317894736842106
RAB33B	0.387285714285714
ALDOC	2.85972727272727
ZNF212	-0.0602
NUDT1	-0.709625
RFPL2	-1.35533333333333
ZNF83	-0.667375
