Hybridization REF	TCGA-E1-5322-01A-01R-1470-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.568125
CREB3L1	-0.84
RPS11	-0.1118
PNMA1	2.919
MMP2	-0.479625
C10orf90	0.8928
ZHX3	1.1065
ERCC5	0.3344
GPR98	1.26941666666667
RXFP3	0.854
APBB2	1.45
PRO0478	-0.610818181818182
KLHL13	1.5456
PRSSL1	-0.836375
PDCL3	-0.022625
DECR1	0.2032
SALL1	2.4855
CADM4	1.579375
RPS18	-0.375894736842105
HNRPD	0.3738
CFHR5	0.708125
SLC10A7	0.452545454545455
OR2K2	0.354
LMAN1	-2.37518181818182
SUHW1	-2.9704
CHD8	0.105923076923077
SUMO1	0.375615384615385
GP1BA	0.656923076923077
DDB1	0.472625
MYO9B	-0.0455714285714286
MMP7	1.976
CRNKL1	0.1085
C9orf45	-0.35075
XAB2	0.3099
RTN1	4.3359
KLHL14	-1.2166
TBX10	-1.07
CENPQ	-0.3536
UTY	-1.27166666666667
ZBTB12	-0.839666666666667
DTNBP1	-0.374
KBTBD8	0.586875
ZEB1	3.509625
ZG16	-2.8396
MIER1	0.139384615384615
ADAM5P	0.9685
CHD9	0.69652380952381
STK16	-0.7452
KIAA1486	0.257666666666667
TOB2	1.1668125
BANK1	0.0564
OR2V2	-0.0628
GRM2	0.273375
PROSC	1.0268
SPIN2B	0.7502
PIR	-3.56690909090909
IPO9	0.167642857142857
EVC	-1.63725
CXCL13	0.732
KIAA1199	-1.70615384615385
SORL1	3.5782
NAT10	-0.6492
CHD1	-1.2992
SYN3	1.9996
SLC22A2	-0.6096
SERPINF1	-2.21125
WDR34	-1.6532
OR7A17	0.3124
C9orf11	-0.107333333333333
RNF216L	0.0218333333333333
LHB	0.062
STK25	0.6428
TAOK3	2.4657
LOC152573	-2.0818
C3orf39	1.379
C14orf108	0.465615384615385
CDC25B	-0.217357142857143
BMP3	1.60233333333333
TMEM180	0.699
