Hybridization REF	TCGA-DB-5277-01A-01R-1470-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.273
CREB3L1	-1.38166666666667
RPS11	0.3156
PNMA1	2.2666
MMP2	-1.608625
C10orf90	1.3026
ZHX3	1.218375
ERCC5	1.318
GPR98	0.82675
RXFP3	0.212333333333333
APBB2	2.1818
PRO0478	-0.720545454545455
KLHL13	0.1842
PRSSL1	-1.209
PDCL3	0.484625
DECR1	0.2072
SALL1	2.41775
CADM4	2.653
RPS18	-0.144157894736842
HNRPD	-0.321733333333333
CFHR5	0.278142857142857
SLC10A7	-0.364454545454545
OR2K2	0.713
LMAN1	-1.72663636363636
SUHW1	-2.3036
CHD8	0.566846153846154
SUMO1	0.0385384615384616
GP1BA	0.0238461538461538
DDB1	-0.284125
MYO9B	0.685428571428572
MMP7	4.3486
CRNKL1	-0.1349
C9orf45	0.182875
XAB2	0.7297
RTN1	3.7197
KLHL14	-1.5987
TBX10	-1.133
CENPQ	-0.4808
UTY	1.80536842105263
ZBTB12	0.454333333333333
DTNBP1	-0.7588
KBTBD8	-0.366625
ZEB1	4.2335
ZG16	-1.9452
MIER1	0.301461538461538
ADAM5P	0.0176666666666667
CHD9	0.219095238095238
STK16	-1.1258
KIAA1486	0.602
TOB2	0.5783125
BANK1	1.2752
OR2V2	0.3728
GRM2	0.469
PROSC	0.6326
SPIN2B	-0.1648
PIR	-2.07090909090909
IPO9	0.258642857142857
EVC	-0.535375
CXCL13	-0.06075
KIAA1199	-1.60915384615385
SORL1	2.1468
NAT10	-0.7624
CHD1	-0.681
SYN3	1.706
SLC22A2	0.149
SERPINF1	-2.702375
WDR34	-1.0248
OR7A17	0.0168
C9orf11	0.137333333333333
RNF216L	-0.0720833333333333
LHB	-0.148666666666667
STK25	0.3209
TAOK3	1.4463
LOC152573	0.6074
C3orf39	1.8712
C14orf108	0.825846153846154
CDC25B	-0.827071428571429
BMP3	-0.474333333333333
TMEM180	0.289
MAP1LC3C	0.0232
CRYGC	-0.768
POU3F1	0.543615384615385
C20orf32	-1.472
CCDC95	0.181
HIGD1B	4.9462
USP6NL	0.4841
ABCD4	0.532375
DIMT1L	0.1501875
TEK	1.22245454545455
SLC25A46	-0.4462
LARP7	-1.53671428571429
CD160	0.15825
MT1JP	-0.0384285714285715
PHF20	-0.215952380952381
CPNE4	2.4874
GTPBP1	-0.107368421052632
RAB33B	0.418
ALDOC	2.41527272727273
ZNF212	0.3178
NUDT1	0.10275
RFPL2	2.18966666666667
ZNF83	-0.759
GDPD5	-1.2852
PDCD4	0.1645
CEP350	0.1868
OR10A2	0.0908
CST7	-1.0094
CIAO1	-0.4642
SELL	0.249363636363636
OR8J3	-0.114666666666667
LTBP4	0.5795
SIRT6	0.5442
CCL19	3.571
PPIL1	0.521625
GBP7	1.106625
STK17A	-0.732307692307692
ABR	1.861
OR9G1	0.6045
FOXE1	-0.058
CNGA3	2.48066666666667
GML	0.1
CD38	-0.6758
ZDHHC6	-0.496625
NEFH	-0.0492
CTDSP2	0.047125
PGBD5	2.33244444444444
CCNY	1.27005555555556
RMND5B	-0.203
ZNF257	0.2036
FLJ22167	0.9253
EXOSC7	-0.466625
ROR2	-1.1272
MAOA	1.00272727272727
TNNT3	-0.167875
GYPC	-1.8755
C7orf33	-0.457333333333333
PLIN	0.659875
LOC90826	-0.6606
RNF4	0.311846153846154
F8A1	0.15625
PLEKHG4	-4.2896
GRB2	0.514962962962963
HIST1H2AD	-0.9266
DUS3L	0.6105
EIF1	-0.253
RP5-1077B9.4	0.132666666666667
FPGT	0.8162
GDF10	1.72275
COQ9	0.534
GCC2	-0.0766111111111111
RARRES3	0.993818181818182
PLXNA1	-0.456642857142857
KIAA0100	-0.061
PMF1	0.2174
FNDC1	1.8136
HS2ST1	0.28025
CRELD2	-0.1796
C8G	-1.654
CD82	1.7416
LIM2	-1.07933333333333
UNQ6490	0.029
MMP16	1.59966666666667
DRD3	-0.108333333333333
C5orf26	0.41
C11orf73	0.1123
PTP4A2	0.0927
OR4M2	-0.175333333333333
HPCA	-0.4525
SEC14L1	-0.10125
CHFR	0.136818181818182
EMILIN1	0.4494
NDUFS4	0.0098
COL18A1	-2.0267
PDZD3	0.147538461538462
C9orf16	-0.205625
ERBB2IP	0.347285714285714
EMX2	5.7804
FUS	0.0062
TF	-0.153846153846154
CLCN4	2.39125
CXorf56	0.371
C11orf72	0.0255
ELAC2	0.299466666666667
NPR1	-0.8332
ASS1	-3.36166666666667
USP42	0.7484
POLR2J	-0.299333333333333
SEC23IP	0.153625
UQCRC1	-0.6418
LOC729603	-0.4428
C1orf71	0.1301
POLG	-2.9505
ADAM23	-0.869
TFR2	-0.6694
RICTOR	0.140076923076923
MGC39606	2.6276
C19orf55	-0.736454545454546
SNAPC1	-1.440375
GNA11	1.24163636363636
CCDC52	-1.078125
FSIP1	0.580333333333333
UPF3A	0.5208
IGSF11	1.272
LAGE3	0.1872
CHST6	0.827666666666667
UNC13B	-0.0475454545454546
TTLL4	-0.636909090909091
ZNF687	1.2469
SDC2	-0.4005
COX7A2	-0.0456
LAMB4	-0.247
FAM24A	0.266
LRRTM3	2.68025
GPHB5	0.118
OR4C13	-0.162666666666667
EIF3EIP	-0.046
HABP4	2.47466666666667
TMEM125	2.5992
CNTN2	4.03881818181818
ASNSD1	-0.0356
FUT4	0.0468
ACF	-2.8754
LOC158381	-0.006
CDH8	2.9642
AGPS	-0.73575
C4orf18	1.16736363636364
PECI	0.0444285714285714
UNG	-1.27581818181818
GSTP1	-0.556545454545455
DCUN1D5	-0.57575
DKFZP564J0863	-2.3516
SLC9A3R1	-0.757727272727273
BCDO2	0.838363636363636
CHMP7	0.0733
REM2	-0.447333333333333
DNHD1	-0.6161
FKBP4	-0.375454545454546
ZNF350	1.5282
MGC11102	-0.156545454545455
BST1	0.498
KISS1R	-0.467333333333333
NCR2	-0.0713333333333333
DEFB125	0.660666666666667
UBE2W	0.586181818181818
KRT15	-4.30627272727273
C10orf99	0.484666666666667
SCN11A	0.291454545454545
GFI1	-3.1998
RDHE2	0.09675
FHL1	1.98225
OSGEP	-0.0085
GATA1	-3.689625
SMC6	-1.3826
TTTY14	1.79516666666667
LPIN3	-0.0434
RPL4	0.6235
RBPMS	-2.748
PRPF3	1.297375
EMR1	-2.809
SPATA19	0.751
XCR1	-0.357666666666667
IRX3	-2.47215384615385
RBM6	-0.535
KLF4	-1.112
UNC5CL	-0.5132
SEBOX	0.0606666666666667
BTK	-1.437
KRCC1	0.889
C6orf27	0.196333333333333
SYTL5	-0.219666666666667
PRND	0.421
LOC653319	-0.337333333333333
PIGL	-2.21563636363636
HUS1	-0.644375
SFRS6	-1.4010625
C17orf77	0.350333333333333
UIMC1	-0.63925
FXYD2	-1.77176923076923
LOC283152	-0.7432
ZNF667	1.4738
ZCCHC12	1.4216
TFEC	1.60723076923077
ATP7B	-1.5155
POLD2	-0.277375
RG9MTD1	-0.6576
ACOT2	-1.886625
HIST1H4I	-0.419818181818182
PPARGC1A	0.565076923076923
ETFA	-0.937142857142857
POLRMT	0.78
ZNF146	0.553454545454546
MIA2	-2.893
KLHL6	-1.74225
HOXB5	-2.04672727272727
NENF	0.606375
CUGBP1	-1.214
PRSS22	-0.94525
CASC4	2.14707692307692
CUL4B	-0.623076923076923
CENPJ	-1.136
PITX1	-3.14775
FLJ31033	-0.0285714285714286
CELSR3	0.715625
ZNF568	1.0266
ITSN1	0.315933333333333
EHBP1L1	-2.668625
C19orf2	1.07
DCTN1	0.909
LIN28B	-4.231875
TNKS2	0.2054
C1QBP	-0.2171
CADPS2	-0.451
SRMS	0.1788
GJA9	0.35025
MGC24975	0.462625
TRIM45	0.7765
TSP50	0.047
TCP1	-0.0394
