Hybridization REF	TCGA-CS-5395-01A-01R-1470-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	2.104625
CREB3L1	-0.449166666666667
RPS11	0.0014
PNMA1	1.9966
MMP2	-0.639125
C10orf90	0.8976
ZHX3	2.454875
ERCC5	-0.7264
GPR98	0.990916666666667
RXFP3	0.496
APBB2	1.3712
PRO0478	-1.28872727272727
KLHL13	0.3864
PRSSL1	-0.940625
PDCL3	0.210375
DECR1	0.2232
SALL1	2.8545
CADM4	3.09525
RPS18	-0.973894736842105
HNRPD	0.377466666666667
CFHR5	-0.280857142857143
SLC10A7	0.179
OR2K2	0.123333333333333
LMAN1	-2.051
SUHW1	-3.0506
CHD8	-0.571538461538462
SUMO1	0.328846153846154
GP1BA	-0.0303076923076923
DDB1	0.104875
MYO9B	0.210428571428571
MMP7	-2.0406
CRNKL1	0.6391
C9orf45	-0.475125
XAB2	0.7028
RTN1	3.4276
KLHL14	-0.8061
TBX10	-2.23166666666667
CENPQ	0.2368
UTY	2.13284210526316
ZBTB12	0.172666666666667
DTNBP1	-0.6778
KBTBD8	-0.47425
ZEB1	2.51825
ZG16	-1.99625
MIER1	-0.271538461538462
ADAM5P	-0.384
CHD9	0.238857142857143
STK16	-0.7634
KIAA1486	-0.904333333333333
TOB2	1.9741875
BANK1	1.3868
OR2V2	0.4956
GRM2	0.47
PROSC	0.9773
SPIN2B	-0.3908
PIR	-1.90981818181818
IPO9	-0.393857142857143
EVC	0.375625
CXCL13	1.478625
KIAA1199	-0.851230769230769
SORL1	3.2606
NAT10	-0.4862
CHD1	-1.7504
SYN3	0.2704
SLC22A2	-0.6394
SERPINF1	-1.119625
WDR34	-1.0786
OR7A17	-0.3178
C9orf11	-0.614
RNF216L	0.512
LHB	-0.127666666666667
STK25	0.2712
TAOK3	2.2435
LOC152573	1.5042
C3orf39	1.9881
C14orf108	0.951384615384615
CDC25B	-0.512428571428571
BMP3	-0.402
TMEM180	0.846333333333333
MAP1LC3C	2.7856
CRYGC	-1.29366666666667
POU3F1	0.819076923076923
C20orf32	-1.218
CCDC95	-0.32
HIGD1B	5.6012
USP6NL	-0.2232
ABCD4	0.944125
DIMT1L	0.399375
TEK	1.241
SLC25A46	-0.6608
LARP7	-0.8285
CD160	0.185
