Hybridization REF	TCGA-DH-5143-01A-01R-1470-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.637375
CREB3L1	-1.10533333333333
RPS11	0.382
PNMA1	2.809
MMP2	-1.1915
C10orf90	0.3132
ZHX3	1.487875
ERCC5	-0.2142
GPR98	1.49341666666667
RXFP3	0.757333333333333
APBB2	1.523
PRO0478	-0.826818181818182
KLHL13	1.4958
PRSSL1	-0.934875
PDCL3	-0.099625
DECR1	0.1742
SALL1	2.39475
CADM4	2.756375
RPS18	-0.792368421052631
HNRPD	0.179933333333333
CFHR5	-0.6764
SLC10A7	0.613
OR2K2	0.0995
LMAN1	-2.33827272727273
SUHW1	-3.562
CHD8	-0.360692307692308
SUMO1	0.335769230769231
GP1BA	0.326
DDB1	0.022625
MYO9B	-0.323571428571429
MMP7	1.1502
CRNKL1	0.0351000000000001
C9orf45	-0.22475
XAB2	0.3796
RTN1	5.35877777777778
KLHL14	-1.477375
TBX10	-1.26266666666667
CENPQ	-0.0862
UTY	1.60433333333333
ZBTB12	0.635333333333333
DTNBP1	0.0934
KBTBD8	0.7125
ZEB1	3.235625
ZG16	-2.2304
MIER1	0.111846153846154
ADAM5P	-0.8165
CHD9	0.0414285714285714
STK16	-0.9968
KIAA1486	0.314333333333333
TOB2	1.39975
BANK1	0.8444
OR2V2	0.668
GRM2	0.507142857142857
PROSC	1.3184
SPIN2B	0.7198
PIR	-1.46336363636364
IPO9	-0.141428571428571
EVC	-2.192
CXCL13	0.885125
KIAA1199	-1.21307692307692
SORL1	3.5766
NAT10	-0.6506
CHD1	-1.7052
SYN3	0.8336
SLC22A2	-1.5526
SERPINF1	-2.407625
WDR34	-1.1928
OR7A17	-0.07075
C9orf11	0.724333333333333
RNF216L	-0.228083333333333
LHB	0.121
STK25	0.471
TAOK3	2.2872
LOC152573	-1.7136
C3orf39	1.9055
C14orf108	0.593461538461538
CDC25B	-1.07
BMP3	0.880333333333333
TMEM180	1.084
MAP1LC3C	0.2318
CRYGC	-0.892
POU3F1	0.433461538461538
C20orf32	-0.583333333333333
CCDC95	0.046
HIGD1B	5.5158
USP6NL	-0.2072
ABCD4	-0.113375
DIMT1L	0.77875
TEK	1.9499
SLC25A46	-0.6918
LARP7	-1.1935
CD160	0.531333333333333
MT1JP	0.761714285714286
PHF20	-0.280619047619048
CPNE4	2.3232
GTPBP1	0.0151052631578947
RAB33B	1.208
ALDOC	3.17590909090909
ZNF212	0.085
NUDT1	-0.666875
RFPL2	1.46666666666667
ZNF83	-0.87975
GDPD5	-1.2012
PDCD4	1.29219230769231
CEP350	-0.0968
OR10A2	0.5658
CST7	-1.7404
CIAO1	-1.2172
SELL	3.62990909090909
OR8J3	-1.271
LTBP4	-0.14975
SIRT6	-0.099
CCL19	2.663
PPIL1	-0.103375
GBP7	3.42228571428571
STK17A	-0.272615384615385
ABR	2.9648
OR9G1	2.312
FOXE1	-0.815
CNGA3	3.27533333333333
GML	0.132333333333333
CD38	-0.3866
ZDHHC6	-0.3565
NEFH	-0.3942
CTDSP2	0.3161875
PGBD5	2.21444444444444
CCNY	0.787388888888889
RMND5B	0.131
ZNF257	-2.994
FLJ22167	1.7499
EXOSC7	-0.08675
ROR2	-1.3612
MAOA	2.32
TNNT3	-0.0247142857142857
GYPC	-0.361333333333333
C7orf33	1.12733333333333
PLIN	2.488
LOC90826	-0.0968
RNF4	-0.256769230769231
F8A1	0.161875
PLEKHG4	-4.4358
GRB2	0.491703703703704
HIST1H2AD	-2.0798
DUS3L	0.114625
EIF1	-0.34325
RP5-1077B9.4	-0.365333333333333
FPGT	0.2804
GDF10	5.334375
COQ9	0.2476
GCC2	-0.215111111111111
RARRES3	2.37145454545455
PLXNA1	-0.424285714285714
KIAA0100	-0.0199285714285714
PMF1	-0.016
FNDC1	-0.0842
HS2ST1	0.4438125
CRELD2	0.0688
C8G	-2.989
CD82	1.5494
LIM2	-0.874
UNQ6490	0.465
MMP16	1.8045
DRD3	-0.393
C5orf26	0.007
C11orf73	0.5106
PTP4A2	-0.5719
OR4M2	0.303666666666667
HPCA	-0.244875
SEC14L1	0.286375
CHFR	-0.948181818181818
EMILIN1	0.00749999999999995
NDUFS4	-0.0998
COL18A1	-2.5781
PDZD3	-0.0530769230769231
C9orf16	0.3585
ERBB2IP	0.945714285714286
EMX2	6.589
FUS	-0.614
TF	-0.753615384615385
CLCN4	3.150125
CXorf56	0.6568
C11orf72	0.270666666666667
ELAC2	0.00259999999999999
NPR1	-1.5002
ASS1	-3.13288888888889
USP42	0.0471
POLR2J	-0.750666666666667
SEC23IP	-0.4075
UQCRC1	0.5148
LOC729603	-1.1822
C1orf71	-0.6819
POLG	-3.5645
ADAM23	-1.41183333333333
TFR2	-0.81
RICTOR	-0.2105
MGC39606	3.5442
C19orf55	-0.629
SNAPC1	-1.751625
GNA11	1.10127272727273
CCDC52	-1.181
FSIP1	0.739666666666667
UPF3A	0.7699
IGSF11	2.147125
LAGE3	0.3672
CHST6	0.727666666666667
UNC13B	0.899090909090909
TTLL4	-0.427363636363636
ZNF687	0.8565
