Hybridization REF	TCGA-DH-5141-01A-01R-1470-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.3080625
CREB3L1	-0.1735
RPS11	-0.4983
PNMA1	3.0248
MMP2	-1.31625
C10orf90	1.4658
ZHX3	1.041375
ERCC5	-0.2134
GPR98	1.2915
RXFP3	0.384666666666667
APBB2	1.4346
PRO0478	-0.461363636363636
KLHL13	0.8714
PRSSL1	-0.94775
PDCL3	-0.027
DECR1	0.3052
SALL1	1.939625
CADM4	1.82625
RPS18	-0.653789473684211
HNRPD	0.462066666666667
CFHR5	0.0802857142857143
SLC10A7	0.499909090909091
OR2K2	0.0806666666666667
LMAN1	-2.41754545454545
SUHW1	-2.4394
CHD8	-0.172
SUMO1	0.269615384615385
GP1BA	0.442461538461539
DDB1	0.156375
MYO9B	-0.404928571428571
MMP7	-1.4944
CRNKL1	0.0472999999999999
C9orf45	-0.4645
XAB2	0.5924
RTN1	4.2268
KLHL14	-1.6172
TBX10	-0.986666666666667
CENPQ	0.2944
UTY	1.49973684210526
ZBTB12	0.580333333333333
DTNBP1	-1.5674
KBTBD8	-0.824
ZEB1	3.488125
ZG16	-1.797
MIER1	-0.290230769230769
ADAM5P	0.451
CHD9	1.10004761904762
STK16	-0.728
KIAA1486	0.611666666666667
TOB2	1.88675
BANK1	1.0478
OR2V2	0.3874
GRM2	0.4935
PROSC	1.3258
SPIN2B	1.1934
PIR	-2.14363636363636
IPO9	-0.184857142857143
EVC	-1.347375
CXCL13	0.21625
KIAA1199	-0.80175
SORL1	3.672
NAT10	-1.2218
CHD1	-1.376
SYN3	1.6404
SLC22A2	-0.23725
SERPINF1	-3.665125
WDR34	-1.4898
OR7A17	0.055
C9orf11	0.641666666666667
RNF216L	0.353916666666667
LHB	0.130666666666667
STK25	0.5839
TAOK3	2.3802
LOC152573	-0.7338
C3orf39	2.6664
C14orf108	0.776076923076923
CDC25B	-0.319714285714286
BMP3	0.1305
TMEM180	0.571
MAP1LC3C	0.4518
CRYGC	-0.54
POU3F1	0.614076923076923
C20orf32	-1.11333333333333
CCDC95	0.0495
HIGD1B	5.7032
USP6NL	-0.3897
ABCD4	0.252
DIMT1L	0.2333125
TEK	1.77581818181818
SLC25A46	-0.19
LARP7	-1.154
CD160	0.119875
MT1JP	1.44542857142857
PHF20	-0.315666666666667
CPNE4	2.4072
GTPBP1	0.481842105263158
RAB33B	0.55075
ALDOC	3.646
ZNF212	-0.1974
NUDT1	-0.3575
RFPL2	-1.2175
ZNF83	-1.7225
GDPD5	-1.3228
PDCD4	1.30957692307692
CEP350	0.083
OR10A2	0.5146
CST7	-1.2856
CIAO1	-1.6612
SELL	2.623
OR8J3	-0.296666666666667
LTBP4	-0.794875
SIRT6	0.349
CCL19	4.881
PPIL1	-0.200375
GBP7	0.937875
STK17A	0.406538461538462
ABR	2.1264
OR9G1	-0.7185
FOXE1	-0.4655
CNGA3	2.198
GML	0.247
CD38	-0.872
ZDHHC6	-0.108
NEFH	-2.526
CTDSP2	0.204375
PGBD5	2.82933333333333
CCNY	0.884777777777778
RMND5B	0.7551875
ZNF257	-0.9614
FLJ22167	1.2501
EXOSC7	0.217625
ROR2	-0.986333333333333
MAOA	2.18245454545455
TNNT3	-0.33475
GYPC	-1.45583333333333
C7orf33	0.270666666666667
PLIN	1.9505
LOC90826	-0.0444
RNF4	-0.136
F8A1	-0.29625
PLEKHG4	-3.9166
GRB2	0.0782962962962963
HIST1H2AD	-2.8034
DUS3L	0.082875
EIF1	-0.16275
RP5-1077B9.4	-1.22366666666667
FPGT	-0.0192
GDF10	3.09725
COQ9	1.055
GCC2	-0.518055555555555
RARRES3	1.91636363636364
