Hybridization REF	TCGA-DB-5276-01A-01R-1470-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.67275
CREB3L1	-1.2415
RPS11	-0.1385
PNMA1	2.906
MMP2	-1.273875
C10orf90	2.1372
ZHX3	1.46025
ERCC5	0.0964
GPR98	1.4915
RXFP3	0.347333333333333
APBB2	0.887
PRO0478	-0.807545454545454
KLHL13	0.762
PRSSL1	-1.076
PDCL3	-0.090375
DECR1	0.2932
SALL1	2.770125
CADM4	2.314375
RPS18	-1.39342105263158
HNRPD	-0.1098
CFHR5	-0.01475
SLC10A7	1.10709090909091
OR2K2	0.679666666666667
LMAN1	-2.29081818181818
SUHW1	-3.49725
CHD8	-0.194076923076923
SUMO1	0.0198461538461538
GP1BA	0.231461538461538
DDB1	0.212375
MYO9B	0.153357142857143
MMP7	1.5734
CRNKL1	0.1126
C9orf45	0.059375
XAB2	0.0914
RTN1	4.6233
KLHL14	-0.783
TBX10	-2.09833333333333
CENPQ	-0.1036
UTY	1.78383333333333
ZBTB12	0.0646666666666667
DTNBP1	-0.5296
KBTBD8	0.436125
ZEB1	2.0955
ZG16	-2.5046
MIER1	0.196153846153846
ADAM5P	-1.542
CHD9	0.266428571428571
STK16	-0.8942
KIAA1486	-0.172
TOB2	1.788125
BANK1	2.1494
OR2V2	0.542
GRM2	1.006375
PROSC	1.0943
SPIN2B	0.6202
PIR	-1.26527272727273
IPO9	0.0911538461538461
EVC	-1.248125
CXCL13	-0.06925
KIAA1199	-0.1
SORL1	3.8984
NAT10	-0.9244
CHD1	-1.3226
SYN3	1.3504
SLC22A2	0.0418
SERPINF1	-0.96225
WDR34	-2.0152
OR7A17	0.2786
C9orf11	0.418333333333333
RNF216L	-0.280166666666667
LHB	-0.167
STK25	0.2003
TAOK3	2.0812
LOC152573	-1.111
C3orf39	1.795
C14orf108	0.883769230769231
CDC25B	-1.35892857142857
BMP3	1.82166666666667
TMEM180	0.562333333333333
MAP1LC3C	0.291
CRYGC	-1.09166666666667
POU3F1	0.208230769230769
C20orf32	-1.12866666666667
CCDC95	-0.459
HIGD1B	5.3944
USP6NL	0.1892
ABCD4	0.397875
DIMT1L	0.3380625
TEK	1.0031
SLC25A46	-0.3652
LARP7	-1.16835714285714
CD160	0.427875
MT1JP	1.08814285714286
PHF20	-0.101571428571429
CPNE4	3.1722
GTPBP1	-0.150789473684211
RAB33B	1.595625
ALDOC	2.894
ZNF212	-0.2488
NUDT1	-0.816875
RFPL2	2.20433333333333
ZNF83	-0.665625
GDPD5	0.2941
PDCD4	0.981153846153846
CEP350	0.31
OR10A2	0.546
CST7	-0.184
CIAO1	-1.646
SELL	1.91263636363636
OR8J3	1.8685
LTBP4	-0.103375
SIRT6	-0.274
CCL19	2.946
PPIL1	-0.034625
GBP7	2.989125
STK17A	-0.0805384615384615
ABR	3.182
OR9G1	0.00800000000000001
FOXE1	-0.1962
CNGA3	3.251
GML	0.565
CD38	0.4628
ZDHHC6	-0.035
NEFH	1.3378
CTDSP2	0.84925
PGBD5	2.34855555555556
CCNY	0.776444444444444
RMND5B	-0.25025
ZNF257	-2.0674
FLJ22167	1.5457
EXOSC7	-0.468375
ROR2	-0.1454
MAOA	1.75327272727273
TNNT3	0.168714285714286
GYPC	-0.857333333333333
C7orf33	0.3875
PLIN	1.963625
LOC90826	0.206
RNF4	-0.162615384615385
F8A1	0.160125
PLEKHG4	-3.2146
GRB2	0.433444444444444
HIST1H2AD	-2.2536
DUS3L	-0.756375
EIF1	0.10675
RP5-1077B9.4	-0.602555555555556
FPGT	1.25
GDF10	3.131
COQ9	0.1638
GCC2	0.215222222222222
RARRES3	2.59954545454545
PLXNA1	-0.433285714285714
KIAA0100	-0.252571428571429
PMF1	-0.5562
FNDC1	2.804
HS2ST1	0.226
CRELD2	-0.1824
C8G	-2.132
CD82	1.3828
LIM2	-0.862
UNQ6490	0.656333333333333
MMP16	2.1305
DRD3	-0.392666666666667
C5orf26	-0.737
C11orf73	0.3548
PTP4A2	0.1178
OR4M2	-0.288666666666667
HPCA	0.13175
SEC14L1	0.252875
CHFR	0.127181818181818
EMILIN1	0.3986
NDUFS4	-0.1198
COL18A1	-1.6093
PDZD3	0.0958333333333333
C9orf16	-0.04725
ERBB2IP	1.48
EMX2	6.3784
FUS	-0.7318
TF	1.28946153846154
CLCN4	3.932625
CXorf56	0.9604
C11orf72	-0.0466666666666667
ELAC2	0.0192666666666667
NPR1	-1.6
ASS1	-2.45822222222222
USP42	-0.2588
POLR2J	0.063
SEC23IP	-0.358875
UQCRC1	-0.0788
LOC729603	-0.8008
C1orf71	-0.4179
POLG	-3.7265
ADAM23	-0.664666666666667
TFR2	-1.1348
RICTOR	0.240230769230769
MGC39606	3.8764
C19orf55	-0.381909090909091
SNAPC1	-1.307875
GNA11	0.789727272727273
CCDC52	-1.149125
FSIP1	0.559333333333333
UPF3A	0.6699
IGSF11	2.12675
LAGE3	-0.1952
CHST6	2.65533333333333
UNC13B	0.736090909090909
TTLL4	-0.394454545454545
ZNF687	0.7673
SDC2	-1.75264285714286
COX7A2	-0.034
LAMB4	-0.36175
FAM24A	-0.1985
LRRTM3	2.9815
GPHB5	-0.6018
OR4C13	0.27
EIF3EIP	0.0489444444444445
HABP4	2.25333333333333
TMEM125	4.3388
CNTN2	5.15118181818182
ASNSD1	0.4628
FUT4	-0.4618
ACF	-3.2274
LOC158381	0.4715
CDH8	3.5226
AGPS	-0.65325
C4orf18	2.32772727272727
PECI	0.104714285714286
UNG	-0.997090909090909
GSTP1	-0.039
DCUN1D5	-1.537125
DKFZP564J0863	-2.8708
SLC9A3R1	0.006
BCDO2	1.791
CHMP7	0.0642
REM2	0.663
DNHD1	-0.410777777777778
FKBP4	-1.45672727272727
ZNF350	1.263
MGC11102	-0.462545454545454
BST1	0.46
KISS1R	-0.511
NCR2	0.450333333333333
DEFB125	0.189
UBE2W	0.475636363636364
KRT15	-4.41863636363636
C10orf99	0.415333333333333
SCN11A	0.215727272727273
GFI1	-3.2804
RDHE2	1.472125
FHL1	2.691625
OSGEP	0.061375
GATA1	-3.7355
SMC6	-1.4366
TTTY14	0.862
LPIN3	-0.4898
RPL4	-0.317428571428572
RBPMS	-2.30821428571429
PRPF3	-1.071625
EMR1	-1.3635
SPATA19	0.3252
XCR1	-0.338666666666667
IRX3	-0.863615384615384
RBM6	-0.3798
KLF4	-0.628923076923077
UNC5CL	-0.9256
SEBOX	0.229333333333333
BTK	0.1666
KRCC1	1.4242
C6orf27	0.350666666666667
SYTL5	-0.468
PRND	0.809375
LOC653319	-0.612666666666667
PIGL	-2.68554545454545
HUS1	-1.103
SFRS6	-1.3645625
C17orf77	0.416333333333333
UIMC1	-0.901375
FXYD2	-2.31984615384615
LOC283152	-0.6998
ZNF667	1.172
ZCCHC12	2.6814
TFEC	2.99938461538462
ATP7B	-1.191875
POLD2	-1.289
RG9MTD1	-0.2208
ACOT2	0.10275
HIST1H4I	-1.82554545454545
PPARGC1A	1.04684615384615
ETFA	-0.840571428571428
POLRMT	-0.2264
ZNF146	-0.148272727272727
MIA2	-1.97233333333333
KLHL6	-0.355625
HOXB5	-2.63663636363636
NENF	0.921875
CUGBP1	-1.078
PRSS22	-1.27825
CASC4	1.28076923076923
CUL4B	-0.367769230769231
CENPJ	-1.49007142857143
PITX1	-3.115625
FLJ31033	-0.385428571428572
CELSR3	-0.617875
ZNF568	0.8544
ITSN1	0.922733333333333
EHBP1L1	-1.60325
C19orf2	-0.4938
DCTN1	1.1304
LIN28B	-3.442
TNKS2	1.2852
C1QBP	-0.5411
CADPS2	0.7236
SRMS	-0.2658
GJA9	0.66975
MGC24975	-0.4545
TRIM45	-1.272375
TSP50	-0.0192
TCP1	-0.7742
TMED7	0.481166666666667
CMA1	-1.051
CENPL	-1.801375
PTCRA	0.435333333333333
FST	-4.9312
VWCE	-0.6998
PAWR	-3.6218
ABCC12	2.42775
LDLR	-1.82153846153846
ASTN2	3.04957142857143
LOC441212	-0.451363636363636
GPATCH8	0.1395
TANC2	-0.4225625
KIF4A	-4.6072
C18orf18	0.4896
PGM1	-1.1064
KIAA0258	0.028
CPD	0.3128
SNCAIP	1.57
DCT	-4.07266666666667
HLA-DOA	3.10764516129032
OR11L1	0.514
UPK1B	-0.571125
DNAJB4	1.97
UGT1A8	-0.3902
HIST1H4L	-1.618
PECR	-1.15375
HSPA2	3.6714
WFIKKN1	-0.68
SERP1	0.765
SYDE2	-1.04433333333333
TACR2	-0.207666666666667
NUP85	-1.5914
CD177	-0.662111111111111
LGR5	0.751
PIGG	0.00512500000000002
PTHR1	0.758375
RAB5A	1.61215384615385
FLJ13224	-0.105666666666667
USP9Y	1.545
C7orf53	-1.324
LRP1B	5.2716
XAF1	0.3588
ABCG8	-1.047
ANKDD1A	-0.04175
DAND5	1.21866666666667
SPAG6	2.201625
LINCR	1.9344
ZDHHC22	2.5102
CCDC60	0.5315
THOC7	-1.342875
TCTA	1.41861538461538
OR8K3	-0.8288
NY-REN-7	0.5058
B2M	1.881125
C6orf141	-3.2235
LPPR4	6.02916666666667
SQLE	-1.40263636363636
SEPHS1	-0.8544
BTBD14B	0.350055555555556
PLRG1	-0.3746
SPG7	-0.106428571428571
ZNF614	-0.353555555555556
PARD6G	-0.055
INPP5B	-0.837230769230769
GRPEL2	-1.2479
PPID	-0.854
TRIM56	-0.5048
UBE2J1	-0.102181818181818
IL20RA	1.7154
LOC387856	3.224
C1orf107	-0.053125
UTS2R	0.0336
C19orf22	-0.5074
SAFB2	0.1914
KIAA0652	0.9902
KLRG1	-0.07725
MS4A8B	1.402
FRAG1	-0.4756
KIAA1546	1.048
E2F4	-1.24707692307692
CLEC4M	-0.358777777777778
BTBD14A	-0.598
KIAA0999	1.59192307692308
GYPA	-3.964625
TAC1	4.50014285714286
TRAIP	-2.521125
KIAA0232	1.53023076923077
ERCC8	-0.96
GPX4	0.142909090909091
KIAA0368	0.851
GPR157	-2.531
CTAGE4	-0.9945
C9orf30	-0.835375
OR52A1	0.358666666666667
HSP90B3P	-0.2135
ALG9	-0.664307692307692
BTBD10	1.3908
SDK2	0.092
BAIAP3	2.84
RABGGTB	-0.0327
ANKRD40	0.79975
KRT74	1.75466666666667
CALCOCO2	0.771611111111111
SNCA	0.9584
TMSL8	-3.33227272727273
C2orf53	0.307333333333333
ESRRB	-0.00979999999999999
ARHGAP26	-0.4485
TDRD9	0.3938
HRAS	0.5685
KLRC4	0.1045
JAGN1	-0.531125
BSDC1	0.69
RNF43	-2.24876923076923
NDUFAF1	1.064
PHF12	0.0976666666666667
OR1L3	0.2174
FOLR2	2.63106666666667
LYZL6	-0.184285714285714
tcag7.1260	-0.193666666666667
WSB1	-1.2375
PROS1	1.37676923076923
OSTN	0.799333333333333
PSMB8	0.4478
SOCS4	0.579181818181818
DDIT4L	3.0746
MAS1	1.31566666666667
MGC34796	-0.5736
CSHL1	-0.061875
TBCCD1	0.056375
ZBTB7C	0.223
AP2S1	-0.894818181818182
P15RS	1.10730769230769
VAT1	-0.191615384615385
SHANK3	1.418375
TUFM	-0.166625
THEG	-1.2142
KRT34	-1.6008
SGSM3	-0.3164
TOMM22	-0.5548
SOCS3	-0.78875
CPO	0.882666666666667
POP4	0.1324
BHLHB3	4.4516
MALL	-0.775166666666667
OR1B1	-0.094
PARK2	1.02166666666667
GPR124	-0.6464
LCE1E	1.013
RUVBL2	-0.8888
CGRRF1	1.39876923076923
ACPL2	2.431
WNT10B	0.898545454545455
BAIAP2L2	-1.38072727272727
ISCA1	1.3145
C1orf125	0.113818181818182
RPAP1	-0.3074
RAI16	-0.013125
RPL27	-1.06318181818182
NLRP9	0.07
EPN1	0.374
LOC388610	0.0652
SLC35A1	0.293769230769231
GAL	-5.0346
SLC14A2	0.165666666666667
RDH11	0.8145
FAM138F	-0.887
AUH	0.6844
FLJ40243	-0.2368
C14orf129	0.425625
MBD2	-1.473375
ABHD14B	-0.6892
PIGT	-0.145090909090909
