Hybridization REF	TCGA-E1-5302-01A-01R-1470-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.880125
CREB3L1	-1.012
RPS11	0.0763
PNMA1	2.9668
MMP2	-0.585625
C10orf90	0.8876
ZHX3	1.920125
ERCC5	0.1466
GPR98	1.76254545454545
RXFP3	0.362333333333333
APBB2	0.5242
PRO0478	-0.547181818181818
KLHL13	1.1152
PRSSL1	-1.239
PDCL3	-0.078
DECR1	0.2409
SALL1	2.714625
CADM4	2.008375
RPS18	-0.845315789473684
HNRPD	0.0336
CFHR5	-0.621857142857143
SLC10A7	1.124
OR2K2	1.218
LMAN1	-2.42490909090909
SUHW1	-2.4286
CHD8	-0.221538461538462
SUMO1	-0.128615384615385
GP1BA	0.205153846153846
DDB1	0.27075
MYO9B	-0.167071428571429
MMP7	5.201
CRNKL1	0.4001
C9orf45	-0.09575
XAB2	0.2911
RTN1	4.9592
KLHL14	-1.649
TBX10	-1.433
CENPQ	0.025
UTY	1.74244444444444
ZBTB12	0.547666666666667
DTNBP1	-0.5955
KBTBD8	0.685625
ZEB1	3.345125
ZG16	-1.7594
MIER1	0.152153846153846
ADAM5P	-1.738
CHD9	0.511285714285714
STK16	-1.0948
KIAA1486	0.682
TOB2	1.4013125
BANK1	2.4352
OR2V2	0.4876
GRM2	0.338625
PROSC	1.2047
SPIN2B	0.3638
PIR	-1.08118181818182
IPO9	-0.433461538461538
EVC	-1.170875
CXCL13	0.55825
KIAA1199	-0.721615384615385
SORL1	3.4768
NAT10	-1.2716
CHD1	-1.4524
SYN3	1.983
SLC22A2	-1.0465
SERPINF1	-1.6925
WDR34	-1.3222
OR7A17	0.4466
C9orf11	-0.249
RNF216L	-0.166666666666667
LHB	-0.00566666666666667
STK25	0.5415
TAOK3	2.2637
LOC152573	-2.1126
C3orf39	1.9473
C14orf108	0.838923076923077
CDC25B	-1.65457142857143
BMP3	1.0265
TMEM180	0.41
MAP1LC3C	1.1194
CRYGC	-0.757
POU3F1	0.280307692307692
C20orf32	-1.232
CCDC95	-0.424
HIGD1B	5.2718
USP6NL	-0.0447
ABCD4	1.20375
DIMT1L	0.589875
TEK	1.10463636363636
SLC25A46	-0.7262
LARP7	-1.52628571428571
CD160	0.22425
MT1JP	1.94942857142857
PHF20	-0.227904761904762
CPNE4	2.0484
GTPBP1	0.131894736842105
RAB33B	-0.247625
ALDOC	2.52018181818182
ZNF212	0.695
NUDT1	-0.6915
RFPL2	-0.316
ZNF83	-1.242375
GDPD5	-0.0736
PDCD4	1.15169230769231
CEP350	0.6116
OR10A2	0.6754
CST7	-0.7866
CIAO1	-1.3142
SELL	2.99527272727273
OR8J3	0.49
LTBP4	-0.413625
SIRT6	-0.0838
CCL19	2.8366
PPIL1	-0.05425
GBP7	3.4615
STK17A	0.247461538461538
ABR	2.957
OR9G1	-1.6315
FOXE1	-0.7679
CNGA3	4.40033333333333
GML	0.457666666666667
CD38	0.745
ZDHHC6	-0.10025
NEFH	-0.2744
CTDSP2	0.8445
PGBD5	2.31966666666667
CCNY	0.770944444444445
RMND5B	0.2425625
ZNF257	-3.037
FLJ22167	2.2384
EXOSC7	-0.281625
ROR2	-0.4787
MAOA	1.85572727272727
TNNT3	-0.479
GYPC	-1.15566666666667
C7orf33	2.20033333333333
PLIN	3.44775
LOC90826	-0.346
RNF4	-0.252230769230769
F8A1	0.149375
PLEKHG4	-4.5756
GRB2	0.555296296296296
HIST1H2AD	-1.5038
DUS3L	-0.213
EIF1	-0.1195
RP5-1077B9.4	-0.903444444444444
FPGT	1.1036
GDF10	4.32025
COQ9	0.305
GCC2	-0.0624444444444444
RARRES3	2.44954545454545
PLXNA1	-0.561142857142857
KIAA0100	0.0924285714285714
PMF1	0.1072
FNDC1	2.6292
HS2ST1	0.2748125
CRELD2	-0.2048
C8G	-2.221
CD82	2.1562
LIM2	-0.866333333333333
UNQ6490	-2.146
MMP16	2.10916666666667
DRD3	0.0746666666666667
C5orf26	-0.018
C11orf73	0.0871
PTP4A2	-0.4575
OR4M2	1.812
HPCA	-0.568375
SEC14L1	0.60325
CHFR	-0.530272727272727
EMILIN1	-0.1389
NDUFS4	-0.4842
COL18A1	-2.365
PDZD3	-0.279923076923077
C9orf16	-0.200875
ERBB2IP	1.14928571428571
EMX2	6.523
FUS	-0.6456
TF	-0.196923076923077
CLCN4	3.089625
CXorf56	0.4558
C11orf72	-0.299833333333333
ELAC2	0.250866666666667
NPR1	-2.355
ASS1	-3.441
USP42	0.1781
POLR2J	0.147
SEC23IP	-0.22925
UQCRC1	0.2768
LOC729603	-0.4232
C1orf71	-0.7075
POLG	-2.819
ADAM23	-1.60933333333333
TFR2	-1.087
RICTOR	0.162166666666667
MGC39606	3.2916
C19orf55	-0.636
SNAPC1	-0.6805
GNA11	1.28654545454545
CCDC52	-0.6805
FSIP1	0.547333333333333
UPF3A	0.9556
IGSF11	1.647625
LAGE3	-0.3266
CHST6	3.59233333333333
UNC13B	0.966545454545454
TTLL4	-0.238363636363636
ZNF687	1.3815
SDC2	0.136714285714286
COX7A2	-0.3168
LAMB4	1.5562
FAM24A	-0.698666666666667
LRRTM3	3.3315
GPHB5	-0.1654
OR4C13	-1.23733333333333
EIF3EIP	0.760222222222222
HABP4	2.531
TMEM125	1.9994
CNTN2	4.49090909090909
ASNSD1	0.669
FUT4	-0.067
ACF	-3.5134
LOC158381	0.409
CDH8	2.7158
AGPS	-1.016125
C4orf18	2.99218181818182
PECI	-0.016
UNG	-0.107545454545455
