Hybridization REF	TCGA-E1-5303-01A-01R-1470-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.1711875
CREB3L1	-1.18716666666667
RPS11	0.2392
PNMA1	2.2814
MMP2	-0.973875
C10orf90	1.6756
ZHX3	1.761
ERCC5	0.1206
GPR98	1.913
RXFP3	0.852
APBB2	0.7348
PRO0478	-0.548454545454545
KLHL13	1.2414
PRSSL1	-0.80275
PDCL3	-0.189375
DECR1	0.7739
SALL1	2.776125
CADM4	2.269625
RPS18	-0.638631578947368
HNRPD	0.135
CFHR5	1.0535
SLC10A7	-0.497454545454545
OR2K2	-0.0735
LMAN1	-2.23572727272727
SUHW1	-3.3412
CHD8	-0.0456153846153846
SUMO1	-0.102307692307692
GP1BA	0.527461538461538
DDB1	0.08925
MYO9B	-0.226357142857143
MMP7	0.2416
CRNKL1	0.075
C9orf45	-1.876125
XAB2	0.5068
RTN1	6.8145
KLHL14	-1.48466666666667
TBX10	-1.47666666666667
CENPQ	0.0498
UTY	1.5634
ZBTB12	-0.346666666666667
DTNBP1	-0.815
KBTBD8	-0.12425
ZEB1	4.154
ZG16	-1.1105
MIER1	0.135307692307692
ADAM5P	1.043
CHD9	0.288809523809524
STK16	-1.0172
KIAA1486	2.21266666666667
TOB2	1.3380625
BANK1	-0.17425
OR2V2	0.4762
GRM2	0.0128571428571429
PROSC	1.3306
SPIN2B	0.4614
PIR	-2.85754545454546
IPO9	-0.437923076923077
EVC	-2.34214285714286
CXCL13	0.657
KIAA1199	-2.83933333333333
SORL1	3.2594
NAT10	-0.6568
CHD1	-1.791
SYN3	2.2626
SLC22A2	-1.115
SERPINF1	-0.890125
WDR34	-1.5036
OR7A17	-0.0898
C9orf11	1.11733333333333
RNF216L	-0.680416666666667
LHB	0.238666666666667
STK25	0.4622
TAOK3	2.118
LOC152573	-3.0725
C3orf39	1.5741
C14orf108	0.715615384615385
CDC25B	-1.23357142857143
BMP3	0.3795
TMEM180	0.786333333333333
MAP1LC3C	0.4904
CRYGC	-1.937
POU3F1	0.298307692307692
C20orf32	-3.15533333333333
CCDC95	0.298
HIGD1B	6.3828
USP6NL	0.1197
ABCD4	0.560125
DIMT1L	0.6305
TEK	1.1663
SLC25A46	-0.6798
LARP7	-1.34028571428571
CD160	0.369
MT1JP	0.657571428571429
PHF20	-0.377190476190476
CPNE4	-0.8964
GTPBP1	-0.325894736842105
RAB33B	0.51175
ALDOC	3.14009090909091
ZNF212	-0.1516
NUDT1	-0.41775
RFPL2	-0.3995
ZNF83	-0.76475
GDPD5	-1.2415
PDCD4	1.0136
CEP350	0.6314
OR10A2	0.7236
CST7	-1.1822
CIAO1	-1.209
SELL	4.68211111111111
OR8J3	1.357
LTBP4	1.46025
SIRT6	0.0814
CCL19	2.0648
PPIL1	-0.306375
GBP7	2.19566666666667
STK17A	0.0922307692307693
ABR	2.2302
OR9G1	-3.267
FOXE1	-0.5563
CNGA3	4.98933333333333
GML	0.849666666666667
CD38	0.82
ZDHHC6	0.0135
NEFH	-1.623
CTDSP2	0.733875
PGBD5	1.14633333333333
CCNY	0.815722222222222
RMND5B	0.101125
ZNF257	-1.61625
FLJ22167	1.7838
EXOSC7	-0.2605
ROR2	-0.9692
MAOA	3.28627272727273
TNNT3	0.399857142857143
GYPC	0.347833333333333
C7orf33	0.745
PLIN	2.526875
LOC90826	-0.3718
RNF4	-0.258846153846154
F8A1	0.011625
PLEKHG4	-3.3888
GRB2	0.496185185185185
HIST1H2AD	-1.164
DUS3L	-0.691375
EIF1	0.03725
RP5-1077B9.4	0.131222222222222
FPGT	1.3072
GDF10	5.951625
COQ9	0.1994
GCC2	-0.331444444444444
RARRES3	2.02272727272727
PLXNA1	-1.04071428571429
KIAA0100	-0.2715
PMF1	-0.2288
FNDC1	1.26533333333333
HS2ST1	0.046875
CRELD2	-0.322
C8G	-2.14766666666667
CD82	1.2238
LIM2	-0.813666666666667
UNQ6490	-4.202
MMP16	2.31925
DRD3	-0.315
C5orf26	0.1982
C11orf73	-0.1231
PTP4A2	-0.4145
OR4M2	0.300333333333333
HPCA	-0.826625
SEC14L1	0.979375
CHFR	-0.291727272727273
EMILIN1	0.4344
NDUFS4	-0.223
COL18A1	-2.1793
PDZD3	-0.0421538461538462
C9orf16	0.0435
ERBB2IP	1.87171428571429
EMX2	7.47833333333333
FUS	-0.5284
TF	0.893615384615385
CLCN4	3.000125
CXorf56	0.8636
C11orf72	0.0143333333333333
ELAC2	-0.1072
NPR1	-1.9848
ASS1	-3.82555555555556
USP42	-0.1404
POLR2J	-0.549333333333333
SEC23IP	-0.60925
UQCRC1	-0.0778
LOC729603	-0.6216
C1orf71	-0.9359
POLG	-3.135
ADAM23	-2.2685
TFR2	-0.5834
RICTOR	-0.453833333333333
MGC39606	3.008
C19orf55	-1.17863636363636
SNAPC1	-1.34725
GNA11	0.955090909090909
CCDC52	-1.42575
FSIP1	0.476333333333333
UPF3A	0.825
IGSF11	1.69525
LAGE3	-0.4186
CHST6	1.188
UNC13B	0.463090909090909
TTLL4	-0.461818181818182
ZNF687	0.9887
SDC2	-0.285214285714286
COX7A2	-0.141
LAMB4	-0.896333333333333
FAM24A	1.344
LRRTM3	4.19871428571429
GPHB5	0.081
OR4C13	0.265
EIF3EIP	0.569
HABP4	2.261
TMEM125	4.0324
CNTN2	4.88190909090909
ASNSD1	0.5532
FUT4	-0.315
ACF	-3.5736
LOC158381	0.609
CDH8	1.514
AGPS	-0.893875
C4orf18	2.89463636363636
PECI	0.732142857142857
UNG	-0.771181818181818
GSTP1	-0.587636363636364
DCUN1D5	-1.777125
DKFZP564J0863	-2.346
SLC9A3R1	-0.676181818181818
BCDO2	0.0755454545454546
CHMP7	0.4742
REM2	0.427666666666667
DNHD1	-0.593125
FKBP4	-1.12863636363636
ZNF350	1.5228
MGC11102	-0.349181818181818
BST1	0.1698
KISS1R	-0.116333333333333
NCR2	0.368666666666667
DEFB125	0.487
UBE2W	0.422363636363636
KRT15	-4.25018181818182
C10orf99	0.363333333333333
SCN11A	0.834777777777778
GFI1	-3.5288
RDHE2	-0.131285714285714
FHL1	3.3445
OSGEP	0.18825
GATA1	-3.79714285714286
SMC6	-1.3866
TTTY14	1.84716666666667
LPIN3	0.5034
RPL4	0.312857142857143
RBPMS	-2.33242857142857
PRPF3	-0.71
EMR1	-2.223
SPATA19	-0.8446
XCR1	0.0396666666666667
IRX3	-0.219384615384615
RBM6	-0.353
KLF4	-0.3885
UNC5CL	-1.2676
SEBOX	0.134
BTK	1.1288
KRCC1	1.3838
C6orf27	0.548666666666667
