Hybridization REF	TCGA-DH-5144-01A-01R-1470-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.018625
CREB3L1	0.378333333333333
RPS11	-0.2632
PNMA1	3.2582
MMP2	-1.285
C10orf90	-0.2856
ZHX3	0.87
ERCC5	0.5576
GPR98	1.95966666666667
RXFP3	0.936
APBB2	1.7688
PRO0478	-1.19772727272727
KLHL13	1.1016
PRSSL1	-0.99375
PDCL3	0.352875
DECR1	-0.0384
SALL1	1.805625
CADM4	2.17275
RPS18	-0.737842105263158
HNRPD	0.335333333333333
CFHR5	-0.124625
SLC10A7	0.56
OR2K2	0.165
LMAN1	-2.30781818181818
SUHW1	-2.71
CHD8	0.223307692307692
SUMO1	-0.0524615384615385
GP1BA	0.112769230769231
DDB1	0.11175
MYO9B	-0.133642857142857
MMP7	-0.3404
CRNKL1	0.4632
C9orf45	-0.440625
XAB2	1.1697
RTN1	3.8431
KLHL14	-1.5097
TBX10	-1.75766666666667
CENPQ	-0.2014
UTY	-1.22547368421053
ZBTB12	-0.559666666666667
DTNBP1	-1.5322
KBTBD8	0.68675
ZEB1	2.921
ZG16	-2.0702
MIER1	-0.835923076923077
ADAM5P	-0.821
CHD9	0.763238095238095
STK16	0.2648
KIAA1486	0.513
TOB2	0.764375
BANK1	0.9376
OR2V2	0.2724
GRM2	0.170625
PROSC	1.0596
SPIN2B	1.381
PIR	-2.46909090909091
IPO9	0.0222142857142857
EVC	-1.369125
CXCL13	2.35675
KIAA1199	-1.08553846153846
SORL1	2.1874
NAT10	0.0272
CHD1	-0.9228
SYN3	1.114
SLC22A2	-0.2868
SERPINF1	-3.8255
WDR34	-1.81
OR7A17	0.3832
C9orf11	0.613
RNF216L	0.0934166666666667
LHB	0.065
STK25	0.5282
TAOK3	2.4281
LOC152573	0.513
C3orf39	2.0749
C14orf108	0.678846153846154
CDC25B	-1.23392857142857
BMP3	-1.21066666666667
TMEM180	0.414666666666667
MAP1LC3C	0.4698
CRYGC	-1.2515
POU3F1	0.0666153846153846
C20orf32	-0.693333333333333
CCDC95	-0.0255
HIGD1B	5.821
USP6NL	-0.1909
ABCD4	0.54475
DIMT1L	0.4470625
TEK	1.36418181818182
SLC25A46	-0.2744
LARP7	-0.979071428571429
CD160	-0.0775714285714286
MT1JP	0.746857142857143
PHF20	-0.0356190476190476
CPNE4	2.2128
GTPBP1	0.502789473684211
RAB33B	0.601875
ALDOC	2.96054545454545
ZNF212	0.3244
NUDT1	-0.71075
RFPL2	1.16433333333333
ZNF83	-1.61675
GDPD5	-0.7125
PDCD4	0.791884615384615
CEP350	0.3756
OR10A2	0.3232
CST7	-0.897
CIAO1	-1.0698
SELL	2.73009090909091
OR8J3	0.319666666666667
LTBP4	-0.00775000000000001
SIRT6	0.445
CCL19	2.7744
PPIL1	0.06025
GBP7	0.87675
STK17A	-0.154307692307692
