Hybridization REF	TCGA-CS-4943-01A-01R-1470-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.9841875
CREB3L1	-2.07766666666667
RPS11	0.3353
PNMA1	3.1242
MMP2	-1.797125
C10orf90	0.2134
ZHX3	1.308875
ERCC5	0.4634
GPR98	1.93111111111111
RXFP3	-0.173333333333333
APBB2	1.5162
PRO0478	-1.3394
KLHL13	1.1352
PRSSL1	-1.272
PDCL3	0.07475
DECR1	0.0366
SALL1	3.22525
CADM4	2.38075
RPS18	-0.758052631578947
HNRPD	0.0498
CFHR5	0.435
SLC10A7	-0.1586
OR2K2	-1.6345
LMAN1	-1.76209090909091
SUHW1	-3.6666
CHD8	0.131769230769231
SUMO1	0.541153846153846
GP1BA	0.174
DDB1	0.206
MYO9B	0.430857142857143
MMP7	4.2558
CRNKL1	0.3752
C9orf45	0.06825
XAB2	1.0487
RTN1	5.25211111111111
KLHL14	-1.99914285714286
TBX10	-2.04533333333333
CENPQ	0.8216
UTY	2.29613333333333
ZBTB12	1.004
DTNBP1	-1.5775
KBTBD8	0.558875
ZEB1	3.684875
ZG16	-3.89975
MIER1	-0.0816923076923077
ADAM5P	-2.026
CHD9	0.704428571428572
STK16	-0.8176
KIAA1486	0.205666666666667
TOB2	0.766
BANK1	0.493333333333333
OR2V2	0.1015
GRM2	1.540625
PROSC	0.9887
SPIN2B	0.317
PIR	-2.962
IPO9	0.127692307692308
EVC	-1.545
CXCL13	-0.473285714285714
KIAA1199	-2.78175
SORL1	2.2636
NAT10	-0.555
CHD1	-0.9572
SYN3	0.9796
SLC22A2	-0.7255
SERPINF1	-3.63775
WDR34	-0.8128
OR7A17	-0.667
C9orf11	0.816333333333333
RNF216L	-0.259166666666667
LHB	0.112666666666667
STK25	0.4334
TAOK3	1.9575
LOC152573	1.3602
C3orf39	2.2726
C14orf108	0.967384615384615
CDC25B	0.148071428571429
BMP3	-0.544
TMEM180	0.453666666666667
MAP1LC3C	-0.177
CRYGC	-2.76366666666667
POU3F1	0.332538461538462
C20orf32	-1.29566666666667
CCDC95	0.314
HIGD1B	5.66375
USP6NL	-0.3722
ABCD4	0.3145
DIMT1L	0.448
TEK	2.0198
SLC25A46	-0.295
LARP7	-2.07671428571429
CD160	0.203428571428571
MT1JP	-0.581714285714286
PHF20	-0.143428571428571
CPNE4	1.7018
GTPBP1	-0.101894736842105
RAB33B	-0.5472
ALDOC	2.22545454545455
ZNF212	0.1816
NUDT1	0.48525
RFPL2	-1.13166666666667
ZNF83	-0.423375
GDPD5	-1.78
PDCD4	0.930615384615385
CEP350	-0.0104
OR10A2	-0.585
CST7	-1.87
CIAO1	-1.1158
SELL	2.0056
OR8J3	-0.9805
LTBP4	0.26575
SIRT6	0.5056
CCL19	4.653
PPIL1	0.305625
GBP7	2.88283333333333
STK17A	0.176769230769231
ABR	1.8612
OR9G1	null
FOXE1	0.2108
CNGA3	3.44033333333333
GML	-0.241
CD38	-1.3854
ZDHHC6	-0.031625
NEFH	-2.1004
CTDSP2	0.814375
PGBD5	2.50555555555556
CCNY	0.784388888888889
RMND5B	0.793
ZNF257	-1.2158
FLJ22167	1.5918
EXOSC7	-0.0405
ROR2	-1.5253
MAOA	0.5566
TNNT3	-0.639285714285714
GYPC	-0.719166666666667
C7orf33	-0.5865
PLIN	1.789125
LOC90826	-0.9274
RNF4	0.313692307692308
F8A1	0.30125
PLEKHG4	-4.2798
GRB2	0.339518518518519
HIST1H2AD	-0.7674
DUS3L	0.4715
EIF1	-0.34925
RP5-1077B9.4	-0.457777777777778
FPGT	0.727
GDF10	0.574625
COQ9	0.3564
GCC2	-0.558166666666667
RARRES3	1.54436363636364
PLXNA1	0.0762142857142857
KIAA0100	-0.199142857142857
PMF1	-0.1746
FNDC1	0.94825
HS2ST1	-0.0226875
CRELD2	-0.929
C8G	-3.745
CD82	1.0466
LIM2	-1.61366666666667
UNQ6490	0.169
MMP16	2.982
DRD3	0.6808
C5orf26	0.0486
C11orf73	0.6214
PTP4A2	-0.5501
OR4M2	1.678
HPCA	-1.114875
SEC14L1	0.175375
CHFR	0.0536
EMILIN1	0.6513
NDUFS4	-0.0696
COL18A1	-2.1992
PDZD3	-1.2107
C9orf16	-0.39775
ERBB2IP	0.742857142857143
EMX2	6.0066
FUS	0.4526
TF	-0.855461538461538
CLCN4	1.678
CXorf56	-0.4028
C11orf72	0.36
ELAC2	-0.1654
NPR1	-1.9272
ASS1	-3.91933333333333
USP42	0.4673
POLR2J	-0.0473333333333333
SEC23IP	-0.202625
UQCRC1	0.1836
LOC729603	-1.5255
C1orf71	-1.0905
POLG	-0.6655
ADAM23	-1.8915
TFR2	-1.0014
RICTOR	0.140454545454545
MGC39606	3.0084
C19orf55	-0.868727272727273
SNAPC1	-1.166875
GNA11	1.535
CCDC52	-0.50225
FSIP1	0.05
UPF3A	0.4509
IGSF11	1.18075
LAGE3	-0.1152
CHST6	0.340666666666667
UNC13B	0.314909090909091
TTLL4	-0.688454545454545
ZNF687	1.1223
SDC2	-1.34628571428571
COX7A2	-0.3104
LAMB4	-0.540666666666667
FAM24A	2.559
LRRTM3	4.05033333333333
GPHB5	0.0996
OR4C13	4.26
EIF3EIP	0.345277777777778
HABP4	2.07266666666667
TMEM125	1.0364
CNTN2	4.37918181818182
ASNSD1	0.5634
FUT4	0.00150000000000001
ACF	-4.654
LOC158381	0.3785
CDH8	1.6476
AGPS	-0.613375
C4orf18	0.798454545454545
PECI	-0.270071428571429
UNG	0.176
GSTP1	-1.18209090909091
DCUN1D5	-1.1975
DKFZP564J0863	-2.277
SLC9A3R1	-0.605363636363636
BCDO2	0.132181818181818
CHMP7	-0.0003
REM2	0.0705
DNHD1	0.1302
FKBP4	-0.828818181818182
ZNF350	1.073
MGC11102	-0.132545454545455
BST1	-0.14
KISS1R	-0.518666666666667
NCR2	-0.195333333333333
DEFB125	0.2155
UBE2W	0.305363636363636
KRT15	-4.83236363636364
C10orf99	0.143333333333333
SCN11A	0.446571428571429
GFI1	-3.7614
RDHE2	-1.35766666666667
FHL1	2.7905
OSGEP	-0.19675
GATA1	-4.13171428571429
SMC6	-1.1792
TTTY14	2.2605
LPIN3	0.1266
RPL4	0.411285714285714
RBPMS	-3.53269230769231
PRPF3	-0.416
EMR1	-1.2595
SPATA19	-0.3296
XCR1	0.122
IRX3	-1.11430769230769
RBM6	0.0536
KLF4	-2.19466666666667
UNC5CL	-0.033
SEBOX	-0.0366666666666667
BTK	-0.064
KRCC1	0.7562
C6orf27	0.684333333333333
SYTL5	-0.311
PRND	-0.233166666666667
LOC653319	-0.200666666666667
PIGL	-1.96581818181818
HUS1	-0.973625
SFRS6	-0.343125
C17orf77	-0.6725
UIMC1	-0.1145
FXYD2	-2.22608333333333
LOC283152	-0.9572
ZNF667	0.4604
ZCCHC12	1.16975
TFEC	3.2563
ATP7B	-1.183125
POLD2	-0.218625
RG9MTD1	-0.1004
ACOT2	0.256875
HIST1H4I	-0.839727272727272
PPARGC1A	-0.457538461538462
ETFA	-0.921714285714286
POLRMT	0.1678
ZNF146	0.601727272727273
MIA2	-1.083
KLHL6	-0.732125
HOXB5	-3.5838
NENF	-0.096125
CUGBP1	-0.5838
PRSS22	-1.6595
CASC4	1.31876923076923
CUL4B	-0.181384615384615
CENPJ	-0.321214285714286
PITX1	-3.56225
FLJ31033	-1.15033333333333
