Hybridization REF	TCGA-CS-4944-01A-01R-1470-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.3558125
CREB3L1	-0.5215
RPS11	-0.5211
PNMA1	2.2428
MMP2	-0.76625
C10orf90	0.9188
ZHX3	2.17325
ERCC5	0.0428
GPR98	0.691583333333333
RXFP3	0.787333333333333
APBB2	0.4512
PRO0478	-0.443818181818182
KLHL13	0.829
PRSSL1	-0.85875
PDCL3	-0.13
DECR1	-0.0179
SALL1	1.721125
CADM4	2.447625
RPS18	-0.634842105263158
HNRPD	0.272933333333333
CFHR5	0.195875
SLC10A7	0.662090909090909
OR2K2	0.714666666666667
LMAN1	-2.19627272727273
SUHW1	-2.2306
CHD8	-0.252538461538462
SUMO1	0.130384615384615
GP1BA	0.732384615384615
DDB1	0.484125
MYO9B	-0.327
MMP7	-0.8096
CRNKL1	-0.00130000000000001
C9orf45	-0.723875
XAB2	0.1911
RTN1	4.1589
KLHL14	-1.19544444444444
TBX10	-1.22466666666667
CENPQ	-0.2124
UTY	1.39831578947368
ZBTB12	0.322333333333333
DTNBP1	0.2442
KBTBD8	-0.481625
ZEB1	2.938875
ZG16	-1.522
MIER1	0.319076923076923
ADAM5P	1.341
CHD9	-0.116809523809524
STK16	-0.7334
KIAA1486	0.472666666666667
TOB2	1.5493125
BANK1	0.8696
OR2V2	0.3254
GRM2	0.43925
PROSC	1.1479
SPIN2B	0.9126
PIR	-1.096
IPO9	-0.148928571428571
EVC	-0.79
CXCL13	0.4665
KIAA1199	-0.974230769230769
SORL1	4.0836
NAT10	-0.2146
CHD1	-2.032
SYN3	2.3738
SLC22A2	-0.074
SERPINF1	-2.257125
WDR34	-1.0554
OR7A17	0.5408
C9orf11	1.113
RNF216L	-0.2545
LHB	0.327333333333333
STK25	0.5544
TAOK3	1.8052
LOC152573	-1.9754
C3orf39	2.0768
C14orf108	0.375076923076923
CDC25B	-1.23235714285714
BMP3	0.063
TMEM180	1.05633333333333
MAP1LC3C	0.2406
CRYGC	-0.3465
POU3F1	-0.0133076923076923
C20orf32	-0.967333333333333
CCDC95	-0.093
HIGD1B	5.9646
USP6NL	-0.4732
ABCD4	-0.2915
DIMT1L	0.3498125
TEK	1.10463636363636
SLC25A46	-0.7106
LARP7	-1.05021428571429
CD160	0.06425
MT1JP	1.11185714285714
PHF20	-0.33447619047619
CPNE4	0.8342
GTPBP1	0.295947368421053
RAB33B	0.6265
ALDOC	3.576
ZNF212	0.0056
NUDT1	-0.574625
RFPL2	0.279166666666667
ZNF83	-1.2235
GDPD5	-1.0906
PDCD4	1.32165384615385
CEP350	0.1386
OR10A2	0.0864
CST7	-0.5634
CIAO1	-1.1074
SELL	3.96163636363636
OR8J3	0.109666666666667
LTBP4	2.3765
SIRT6	-0.2314
CCL19	2.7096
PPIL1	-0.104125
GBP7	0.45
STK17A	0.418307692307692
ABR	3.2682
OR9G1	0.3105
FOXE1	-0.0201
CNGA3	3.08833333333333
GML	0.249
CD38	-0.9028
ZDHHC6	-0.24775
NEFH	-1.3096
CTDSP2	0.6141875
PGBD5	1.97477777777778
CCNY	0.853722222222222
RMND5B	0.4110625
ZNF257	-1.7556
FLJ22167	1.8096
EXOSC7	0.0915
ROR2	-0.3906
MAOA	2.64672727272727
TNNT3	0.1835
GYPC	-0.221833333333333
C7orf33	-0.586666666666667
PLIN	3.858625
LOC90826	-0.329
RNF4	-0.215153846153846
F8A1	-0.09275
PLEKHG4	-4.5436
GRB2	0.162111111111111
HIST1H2AD	-0.9678
DUS3L	-0.588125
EIF1	-0.04025
RP5-1077B9.4	-0.471
FPGT	1.3566
GDF10	5.162125
COQ9	0.6464
GCC2	-0.568722222222222
RARRES3	3.10472727272727
PLXNA1	-0.467785714285714
KIAA0100	0.219285714285714
PMF1	-0.0756
FNDC1	-0.0546
HS2ST1	0.8481875
CRELD2	0.7872
C8G	-1.85333333333333
CD82	1.952
LIM2	-0.559333333333333
UNQ6490	-0.1365
MMP16	0.882666666666667
DRD3	0.0798333333333333
C5orf26	-0.1422
C11orf73	0.1559
PTP4A2	-0.2295
OR4M2	0.467
HPCA	-0.485375
SEC14L1	1.24425
CHFR	-1.03045454545455
EMILIN1	0.5847
NDUFS4	-0.4946
COL18A1	-2.0914
PDZD3	0.276846153846154
C9orf16	-0.19825
ERBB2IP	2.56328571428571
EMX2	5.5982
FUS	-0.6408
TF	0.0125384615384615
CLCN4	2.938875
CXorf56	0.8424
C11orf72	0.430333333333333
ELAC2	0.4758
NPR1	-1.1316
ASS1	-2.93044444444444
USP42	-0.3396
POLR2J	-1.16933333333333
SEC23IP	-0.8385
UQCRC1	0.4774
LOC729603	-0.7028
C1orf71	-0.9635
POLG	-3.694
ADAM23	-1.7505
TFR2	-0.722
RICTOR	-0.384
MGC39606	2.728
C19orf55	-0.399545454545454
SNAPC1	-1.107125
GNA11	1.20272727272727
CCDC52	-0.65025
FSIP1	0.486333333333333
UPF3A	1.1326
IGSF11	2.318625
LAGE3	0.0848
CHST6	1.35733333333333
UNC13B	1.28427272727273
TTLL4	-0.637909090909091
ZNF687	1.0017
SDC2	0.140142857142857
COX7A2	-0.7762
LAMB4	-0.5188
FAM24A	0.055
LRRTM3	1.639125
GPHB5	-0.2948
OR4C13	0.283666666666667
EIF3EIP	0.538888888888889
HABP4	2.97466666666667
TMEM125	1.7204
CNTN2	3.89890909090909
ASNSD1	0.4708
FUT4	-0.7436
ACF	-2.9466
LOC158381	0.319
CDH8	0.6712
AGPS	-1.22025
C4orf18	3.10545454545455
PECI	0.436071428571429
UNG	0.0764545454545455
GSTP1	-0.528
DCUN1D5	-1.514375
DKFZP564J0863	-3.112
SLC9A3R1	0.348090909090909
BCDO2	0.708636363636364
CHMP7	0.4521
REM2	-0.0933333333333333
DNHD1	-0.5859
FKBP4	-1.28881818181818
ZNF350	0.7382
MGC11102	-0.566454545454545
BST1	-0.1174
KISS1R	0.386666666666667
NCR2	0.176
DEFB125	0.172
UBE2W	0.0502727272727273
KRT15	-4.35590909090909
C10orf99	0.403333333333333
SCN11A	0.454636363636364
GFI1	-3.7014
RDHE2	-0.51275
FHL1	2.949
OSGEP	0.313
GATA1	-4.01225
SMC6	-2.1128
TTTY14	0.928333333333333
LPIN3	0.0552
RPL4	0.120642857142857
RBPMS	-1.45621428571429
PRPF3	-1.0595
EMR1	-2.359
SPATA19	0.3584
XCR1	-0.123333333333333
IRX3	0.860153846153846
RBM6	-0.9506
KLF4	-1.01330769230769
UNC5CL	-1.559
SEBOX	0.294333333333333
BTK	-0.608
KRCC1	1.6616
C6orf27	0.793333333333333
SYTL5	-0.496
PRND	0.1177
LOC653319	-0.744333333333333
PIGL	-2.25672727272727
HUS1	-1.244
SFRS6	-1.526625
C17orf77	0.273666666666667
UIMC1	-0.2565
FXYD2	-1.534
LOC283152	-0.4704
ZNF667	0.5822
ZCCHC12	0.891
TFEC	1.47415384615385
ATP7B	-0.426125
POLD2	-1.0725
RG9MTD1	-0.459
ACOT2	-0.1895
HIST1H4I	-1.50927272727273
PPARGC1A	1.89469230769231
ETFA	-0.624928571428571
POLRMT	-0.2794
ZNF146	0.00981818181818182
MIA2	-1.50233333333333
KLHL6	-1.6745
HOXB5	-1.90072727272727
NENF	0.48775
CUGBP1	-0.4682
PRSS22	-0.702
CASC4	2.05884615384615
CUL4B	-0.316769230769231
CENPJ	-1.92678571428571
PITX1	-1.391375
FLJ31033	-0.171142857142857
CELSR3	-0.509125
ZNF568	1.6242
ITSN1	0.835266666666667
