Hybridization REF	TCGA-DH-5140-01A-01R-1470-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.489
CREB3L1	-1.0255
RPS11	0.5471
PNMA1	2.6006
MMP2	-0.916125
C10orf90	0.3988
ZHX3	1.42175
ERCC5	0.175
GPR98	1.17666666666667
RXFP3	0.280666666666667
APBB2	1.7112
PRO0478	-0.684727272727273
KLHL13	2.8712
PRSSL1	-1.022375
PDCL3	0.453
DECR1	-0.5883
SALL1	1.988375
CADM4	2.22525
RPS18	-0.57221052631579
HNRPD	0.587466666666667
CFHR5	0.835375
SLC10A7	0.799545454545454
OR2K2	0.663333333333333
LMAN1	-2.74754545454545
SUHW1	-2.5136
CHD8	-0.476692307692308
SUMO1	0.291461538461538
GP1BA	0.129923076923077
DDB1	0.017375
MYO9B	0.249071428571429
MMP7	1.5016
CRNKL1	0.4225
C9orf45	0.754
XAB2	0.4109
RTN1	3.8357
KLHL14	-1.1134
TBX10	-1.056
CENPQ	0.3234
UTY	-1.16315789473684
ZBTB12	0.151333333333333
DTNBP1	-0.066
KBTBD8	1.116125
ZEB1	3.142375
ZG16	-1.6594
MIER1	0.0546923076923077
ADAM5P	0.212333333333333
CHD9	0.723142857142857
STK16	-0.356
KIAA1486	0.423
TOB2	0.6531875
BANK1	0.6144
OR2V2	0.4936
GRM2	0.40475
PROSC	0.7412
SPIN2B	0.4556
PIR	-2.92436363636364
IPO9	0.289928571428571
EVC	-0.47325
CXCL13	1.08275
KIAA1199	-0.459076923076923
SORL1	2.0324
NAT10	-0.5796
CHD1	-1.0044
SYN3	1.665
SLC22A2	0.4848
SERPINF1	-2.256375
WDR34	-0.6196
OR7A17	0.2992
C9orf11	-0.208
RNF216L	0.306333333333333
LHB	-0.119
STK25	0.8877
TAOK3	2.6024
LOC152573	0.1556
C3orf39	2.2631
C14orf108	0.153461538461538
CDC25B	-0.741857142857143
BMP3	0.442
TMEM180	0.407
MAP1LC3C	0.6786
CRYGC	-0.348333333333333
POU3F1	1.24676923076923
C20orf32	-1.09766666666667
CCDC95	0.2085
HIGD1B	3.9576
USP6NL	-0.0718
ABCD4	0.162
DIMT1L	-0.26325
TEK	3.02727272727273
SLC25A46	-1.1526
LARP7	-1.32564285714286
CD160	0.089875
MT1JP	1.804
PHF20	-0.0566666666666666
CPNE4	1.8026
GTPBP1	0.174
RAB33B	1.466375
ALDOC	2.95063636363636
ZNF212	0.2528
NUDT1	-0.10775
RFPL2	0.767
ZNF83	-0.083125
GDPD5	-1.2286
PDCD4	2.41673076923077
CEP350	0.5862
OR10A2	0.0298
CST7	-0.7162
CIAO1	-1.3752
SELL	0.155545454545455
OR8J3	-0.0353333333333333
LTBP4	0.110875
SIRT6	0.512
CCL19	3.5034
PPIL1	-0.11025
GBP7	1.227
STK17A	0.430230769230769
ABR	2.3044
OR9G1	0.011
FOXE1	-0.3968
CNGA3	3.58633333333333
GML	0.234333333333333
CD38	-1.4204
ZDHHC6	-0.234625
NEFH	-0.964
CTDSP2	1.1096875
PGBD5	2.05522222222222
CCNY	0.314611111111111
RMND5B	-0.3558125
ZNF257	-0.7536
FLJ22167	1.0558
EXOSC7	-0.847875
ROR2	-0.6585
MAOA	2.51754545454545
TNNT3	-0.11725
GYPC	-0.647333333333333
C7orf33	0.0593333333333333
PLIN	0.09375
