Hybridization REF	TCGA-E1-5318-01A-01R-1470-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.9596875
CREB3L1	0.263166666666667
RPS11	0.3011
PNMA1	2.9536
MMP2	-0.8225
C10orf90	-0.681
ZHX3	0.7435
ERCC5	0.1462
GPR98	-0.632083333333333
RXFP3	0.487333333333333
APBB2	2.016
PRO0478	-0.997909090909091
KLHL13	1.5622
PRSSL1	-0.788
PDCL3	-0.047625
DECR1	0.4549
SALL1	0.779625
CADM4	1.639375
RPS18	0.108736842105263
HNRPD	0.326866666666667
CFHR5	0.364375
SLC10A7	0.615090909090909
OR2K2	0.73
LMAN1	-2.06681818181818
SUHW1	-2.3238
CHD8	-0.0203076923076923
SUMO1	0.123769230769231
GP1BA	0.317461538461538
DDB1	-0.01675
MYO9B	-0.199857142857143
MMP7	-0.9306
CRNKL1	0.3136
C9orf45	0.123625
XAB2	0.7496
RTN1	3.9056
KLHL14	-1.5503
TBX10	-1.03466666666667
CENPQ	-0.1512
UTY	-1.11777777777778
ZBTB12	0.021
DTNBP1	-1.6291
KBTBD8	-0.096
ZEB1	4.1355
ZG16	-1.32775
MIER1	-0.409923076923077
ADAM5P	0.288666666666667
CHD9	1.04466666666667
STK16	-0.9886
KIAA1486	0.197333333333333
TOB2	1.6545625
BANK1	2.271
OR2V2	0.4528
GRM2	0.16525
PROSC	0.7938
SPIN2B	1.2212
PIR	-4.06418181818182
IPO9	-0.0496428571428571
EVC	-2.226375
CXCL13	0.124625
KIAA1199	-2.06130769230769
SORL1	2.3408
NAT10	-0.5688
CHD1	-1.0182
SYN3	0.7916
SLC22A2	-0.3294
SERPINF1	-3.806875
WDR34	-1.8976
OR7A17	0.3832
C9orf11	0.252
RNF216L	0.136583333333333
LHB	0.00666666666666667
STK25	0.329
TAOK3	2.2343
LOC152573	-1.3804
C3orf39	3.1082
C14orf108	0.685692307692307
CDC25B	-1.07521428571429
BMP3	-0.366333333333333
TMEM180	0.574666666666667
MAP1LC3C	0.09
CRYGC	-0.584
POU3F1	0.282538461538462
C20orf32	-1.018
CCDC95	-0.239
HIGD1B	6.0082
USP6NL	0.0448
ABCD4	-0.062875
DIMT1L	0.6993125
TEK	2.02172727272727
SLC25A46	0.028
LARP7	-1.3515
CD160	0.027125
MT1JP	0.502428571428571
PHF20	-0.0556190476190476
CPNE4	1.1894
GTPBP1	0.289578947368421
RAB33B	0.816625
ALDOC	0.825363636363636
ZNF212	-0.1346
NUDT1	-0.52775
RFPL2	0.7335
ZNF83	-1.68625
GDPD5	-0.5789
PDCD4	1.32673076923077
CEP350	0.2772
OR10A2	0.2714
CST7	-0.9072
CIAO1	-1.3442
SELL	0.528727272727273
OR8J3	0.0846666666666666
LTBP4	-0.475
SIRT6	0.3816
CCL19	0.057
PPIL1	-0.063
GBP7	0.152375
STK17A	0.0956923076923077
ABR	0.7944
OR9G1	0.1865
FOXE1	-0.4372
CNGA3	1.76133333333333
GML	0.414
CD38	-3.962
ZDHHC6	-0.358625
NEFH	-3.3266
CTDSP2	1.08375
PGBD5	2.49666666666667
CCNY	0.705166666666667
RMND5B	0.70475
ZNF257	-0.7128
FLJ22167	0.9104
EXOSC7	-0.042375
ROR2	-0.9158
MAOA	1.72618181818182
TNNT3	0.20125
GYPC	-1.63566666666667
C7orf33	-0.0406666666666667
PLIN	0.2905
LOC90826	-0.209
RNF4	0.204384615384615
F8A1	-0.076375
PLEKHG4	-4.8222
GRB2	-0.109518518518519
HIST1H2AD	-1.997
DUS3L	0.209
EIF1	-0.493
RP5-1077B9.4	-1.02922222222222
FPGT	-0.371
GDF10	0.922875
COQ9	0.453
GCC2	-0.304555555555556
RARRES3	-0.315272727272727
PLXNA1	0.0776428571428571
KIAA0100	0.285714285714286
PMF1	-0.0028
FNDC1	0.3918
HS2ST1	-0.313625
CRELD2	-0.2962
C8G	-2.413
CD82	1.2736
LIM2	-0.596333333333333
UNQ6490	0.0516666666666667
MMP16	1.92516666666667
DRD3	0.0791666666666667
C5orf26	0.9594
C11orf73	0.2485
PTP4A2	-1.7585
OR4M2	0.103666666666667
HPCA	-1.121875
SEC14L1	0.793375
CHFR	-0.473363636363636
EMILIN1	-0.4707
NDUFS4	0.5408
COL18A1	-0.6875
PDZD3	0.175615384615385
C9orf16	-0.432125
ERBB2IP	0.992857142857143
EMX2	3.251
FUS	-0.1502
TF	-2.29761538461538
CLCN4	0.034125
CXorf56	-0.1598
C11orf72	0.117333333333333
ELAC2	-0.157133333333333
NPR1	-0.2172
ASS1	-4.46066666666667
USP42	0.3557
POLR2J	-0.510666666666667
SEC23IP	-0.209625
UQCRC1	0.2596
LOC729603	-0.5206
C1orf71	-0.6071
POLG	-2.735
ADAM23	-1.36016666666667
TFR2	-0.742
RICTOR	0.468230769230769
MGC39606	2.4906
C19orf55	-0.582818181818182
SNAPC1	-0.935625
GNA11	1.69727272727273
CCDC52	-0.989
FSIP1	-0.505666666666667
UPF3A	0.0503
IGSF11	2.29575
LAGE3	-0.1842
CHST6	-2.03633333333333
UNC13B	0.068
TTLL4	-0.366454545454545
ZNF687	1.2347
SDC2	-2.59071428571429
COX7A2	0.4256
LAMB4	-0.3206
FAM24A	0.447333333333333
LRRTM3	3.354625
GPHB5	0.4426
OR4C13	0.712
EIF3EIP	1.26405555555556
HABP4	1.82566666666667
TMEM125	-3.153
CNTN2	1.342
ASNSD1	0.6636
FUT4	-1.1393
ACF	-3.0198
LOC158381	0.749
CDH8	0.6118
AGPS	-0.905125
C4orf18	-0.169545454545455
PECI	-0.146071428571429
UNG	-0.737818181818182
GSTP1	0.596909090909091
DCUN1D5	-1.595625
DKFZP564J0863	-3.6092
SLC9A3R1	-2.04318181818182
BCDO2	0.553818181818182
CHMP7	0.5251
REM2	0.315333333333333
DNHD1	0.0719
FKBP4	-1.57027272727273
ZNF350	1.058
MGC11102	-0.631363636363636
BST1	0.633
KISS1R	-0.121333333333333
NCR2	0.439
DEFB125	0.564333333333333
UBE2W	0.538545454545455
KRT15	-4.25490909090909
C10orf99	-0.094
SCN11A	0.117818181818182
GFI1	-4.417
RDHE2	-0.761875
FHL1	2.733125
OSGEP	-0.944625
GATA1	-3.71925
SMC6	-1.2044
TTTY14	-1.3075
LPIN3	0.4512
RPL4	0.970642857142857
RBPMS	-1.74264285714286
PRPF3	-0.657875
EMR1	-2.2905
SPATA19	0.2388
XCR1	-0.259666666666667
IRX3	-1.53707692307692
RBM6	-0.455
KLF4	-1.24115384615385
UNC5CL	-0.1582
SEBOX	0.463
BTK	-1.4612
KRCC1	1.6624
C6orf27	0.601333333333333
SYTL5	0.0446666666666667
PRND	1.054
LOC653319	-0.116666666666667
PIGL	-1.95309090909091
HUS1	-0.867375
SFRS6	-0.7531875
C17orf77	0.572
UIMC1	-0.117125
FXYD2	-1.17746153846154
LOC283152	-1.2946
ZNF667	0.4298
ZCCHC12	0.2804
TFEC	1.26907692307692
ATP7B	-0.679625
POLD2	-0.743875
RG9MTD1	0.5726
ACOT2	-2.324875
HIST1H4I	-0.895545454545454
PPARGC1A	1.67530769230769
ETFA	-0.346
POLRMT	0.8702
ZNF146	-0.326
MIA2	-1.75766666666667
KLHL6	-0.189625
HOXB5	-1.95590909090909
NENF	0.2915
CUGBP1	-0.8098
PRSS22	-1.010375
CASC4	1.42323076923077
CUL4B	0.0693076923076923
CENPJ	-1.58585714285714
PITX1	-2.97875
FLJ31033	-0.118428571428571
CELSR3	0.569625
ZNF568	0.6052
ITSN1	0.00400000000000009
EHBP1L1	-2.68475
C19orf2	-0.9012
DCTN1	0.2642
LIN28B	-3.70325
TNKS2	1.7974
C1QBP	0.1662
CADPS2	-1.185
SRMS	-0.1116
GJA9	0.491125
MGC24975	0.205375
TRIM45	-2.824625
TSP50	-0.107
TCP1	-0.3362
TMED7	0.356333333333333
CMA1	0.275333333333333
CENPL	-1.51025
PTCRA	-0.233333333333333
FST	-5.5606
VWCE	-1.9592
PAWR	-3.424
ABCC12	0.330875
LDLR	-2.09230769230769
ASTN2	2.95007142857143
LOC441212	0.0585454545454545
GPATCH8	0.223
TANC2	0.47525
KIF4A	-3.84
C18orf18	1.0214
PGM1	-0.574
KIAA0258	0.2382
CPD	0.3079
SNCAIP	3.4696
DCT	-3.90333333333333
HLA-DOA	1.78177419354839
OR11L1	0.469333333333333
UPK1B	0.047375
DNAJB4	0.8676
UGT1A8	0.0026
HIST1H4L	-0.799333333333333
PECR	-0.9815
HSPA2	-0.747
WFIKKN1	0.261
SERP1	0.8842
SYDE2	-1.201
TACR2	-0.288333333333333
NUP85	-1.408
CD177	-0.467777777777778
LGR5	-0.693125
PIGG	-0.5619375
PTHR1	1.017
RAB5A	1.74153846153846
FLJ13224	-0.012
USP9Y	-1.0085
C7orf53	-1.672
LRP1B	4.4564
XAF1	-0.00633333333333332
ABCG8	-0.280666666666667
ANKDD1A	-0.287625
DAND5	-0.325
SPAG6	0.04125
LINCR	0.2438
ZDHHC22	4.1839
CCDC60	-0.351666666666667
THOC7	-1.569125
TCTA	0.925538461538461
OR8K3	0.0592
NY-REN-7	-0.541
B2M	0.5375
C6orf141	-3.1129
LPPR4	4.18466666666667
SQLE	-1.10863636363636
SEPHS1	-0.4208
BTBD14B	0.257277777777778
PLRG1	-0.4056
SPG7	0.412666666666667
ZNF614	-0.496444444444444
PARD6G	0.458125
INPP5B	-0.314769230769231
GRPEL2	-0.1151
PPID	-1.24815384615385
TRIM56	-0.8548
UBE2J1	-0.046
IL20RA	-0.5056
LOC387856	1.8016
C1orf107	-0.4543125
UTS2R	0.2252
C19orf22	-0.1898
SAFB2	0.4059
KIAA0652	1.0563
KLRG1	-0.1945
MS4A8B	2.231125
FRAG1	-0.3612
KIAA1546	1.654
E2F4	-1.00076923076923
CLEC4M	-0.0192222222222222
BTBD14A	-1.0276
KIAA0999	1.72915384615385
GYPA	-2.7015
TAC1	0.1475
TRAIP	-2.130625
KIAA0232	1.36746153846154
ERCC8	-0.3079
GPX4	0.388636363636364
KIAA0368	0.1034
GPR157	-2.022875
CTAGE4	-1.483
C9orf30	-0.2905
OR52A1	0.442333333333333
HSP90B3P	-0.3525
ALG9	0.105769230769231
BTBD10	0.7682
SDK2	0.346166666666667
BAIAP3	0.9604
RABGGTB	-0.8252
ANKRD40	0.21175
KRT74	1.186
